"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Vou perguntar agora sobre o grau de confiança em uma série de políticos:";"Você confia no Geraldo Alckmin?";"Você confia no Jair Bolsonaro?";"Você confia no Marcelo Crivela?";"Você confia no Marco Feliciano?";"Você confia no Lula?";"Você confia na Marina Silva?";"Estamos chegando no fim. Vou ler duas afirmações e gostaria de saber se você concorda com elas:";"Num momento de crise, o governo precisa cortar gastos inclusive em saúde e educação.";"Quem começou a trabalhar cedo deve poder se aposentar cedo, sem limite mínimo de idade.";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Qual é a sua denominação religiosa?";"outra:";"_id";"_uuid";"_submission_time";"_index"
"2017-06-15T11:53:48.104-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"26";"nenhum";"nada disso";"";"não sei";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"";"não confia";"não confia";"não confia";"confia pouco";"não confia";"confia pouco";"";"não concorda";"não concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4190143";"bade5055-cfed-4b68-8859-9d6dfbcbc32b";"2017-06-15T17:22:54";"11"
"2017-06-15T11:59:45.464-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"42";"nenhum";"nada disso";"";"muito conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio incompleto";"parda";"";"igreja renascer em Cristo";"";"4190144";"cc3d024c-c816-4cce-95c2-d6122d221afc";"2017-06-15T17:22:55";"12"
"2017-06-15T12:05:34.621-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"29";"nenhum";"nada disso";"";"pouco conservador";"pouco antipetista";"";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não confia";"confia pouco";"confia pouco";"confia muito";"não confia";"confia pouco";"";"não concorda";"não concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"parda";"";"outra";"Pentecostal monte calvario";"4190145";"1794869b-873f-47fc-aa9b-41b626fbed17";"2017-06-15T17:22:55";"13"
"2017-06-15T12:12:59.641-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"53";"nenhum";"nada disso";"";"não sei";"não sei";"";"concorda";"concorda";"não concorda";"concorda";"não sei";"não sei";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não sabe";"não sabe";"não sabe";"não sabe";"não sabe";"não sabe";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4190147";"5ff40fbb-545c-46f2-b9c0-9168409a7ac0";"2017-06-15T17:22:56";"14"
"2017-06-15T12:21:39.598-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"32";"PT";"nada disso";"";"pouco conservador";"nada antipetista";"";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"";"confia pouco";"não confia";"não confia";"não confia";"confia pouco";"confia pouco";"";"não concorda";"concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4190148";"94e9dc85-5cc2-4f8e-aebe-a82f04cb5470";"2017-06-15T17:22:56";"15"
"2017-06-15T12:30:23.170-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"35";"PT";"nada disso";"";"pouco conservador";"nada antipetista";"";"não concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não sabe";"não sabe";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"preta";"";"igreja batista";"";"4190150";"9ba61ccf-dbc4-4b02-9211-084096f43fd8";"2017-06-15T17:22:57";"16"
"2017-06-15T12:39:21.671-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"17";"nenhum";"nada disso";"";"muito conservador";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"";"confia muito";"não conhece";"não conhece";"não conhece";"não confia";"confia muito";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio incompleto";"outra";"Morena";"igreja renascer em Cristo";"";"4190151";"d60f8749-b9c6-4f9e-a2cd-45bac41687eb";"2017-06-15T17:22:58";"17"
"2017-06-15T12:46:38.491-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"42";"nenhum";"não sei";"";"pouco conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não conhece";"não conhece";"não conhece";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"branca";"";"assembléia de Deus";"";"4190152";"e32da881-c7a2-4198-bb1a-092dd8fc8891";"2017-06-15T17:22:58";"18"
"2017-06-15T12:52:26.623-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"37";"nenhum";"nada disso";"";"pouco conservador";"não sei";"";"concorda";"concorda";"não sei";"concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino médio incompleto";"amarela";"";"outra";"Eterna alianca";"4190154";"1195a3ec-9af2-4027-9da5-1bf08dccfd4d";"2017-06-15T17:22:59";"19"
"2017-06-15T13:02:56.580-03";"ac:d0:74:78:6f:7c";"Ju scudeler";"6";"";"30";"nenhum";"nada disso";"";"nada conservador";"muito antipetista";"";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não sabe";"não sabe";"não conhece";"não sabe";"não confia";"confia muito";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4190155";"3eabbfad-2696-436e-83d7-59746a0d97a8";"2017-06-15T17:23:00";"20"
