"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Vou perguntar agora sobre o grau de confiança em uma série de políticos:";"Você confia no Geraldo Alckmin?";"Você confia no Jair Bolsonaro?";"Você confia no Marcelo Crivela?";"Você confia no Marco Feliciano?";"Você confia no Lula?";"Você confia na Marina Silva?";"Estamos chegando no fim. Vou ler duas afirmações e gostaria de saber se você concorda com elas:";"Num momento de crise, o governo precisa cortar gastos inclusive em saúde e educação.";"Quem começou a trabalhar cedo deve poder se aposentar cedo, sem limite mínimo de idade.";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Qual é a sua denominação religiosa?";"outra:";"_id";"_uuid";"_submission_time";"_index"
"2017-06-15T12:41:03.710-03";"ac:d0:74:8c:6f:d7";"Bruna";"6";"";"52";"nenhum";"não sei";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$9.370,00 até R$18.740,00";"ensino superior incompleto";"branca";"";"igreja renascer em Cristo";"";"4191606";"dc72a93b-a3c0-4539-a466-6c17a79f7f8e";"2017-06-15T18:58:09";"138"
"2017-06-15T12:48:27.816-03";"ac:d0:74:8c:6f:d7";"Bruna";"6";"";"18";"não sei";"de direita";"";"pouco conservador";"nada antipetista";"";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"confia muito";"não conhece";"confia pouco";"não confia";"confia pouco";"";"não concorda";"concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino médio incompleto";"branca";"";"nenhuma";"";"4191608";"aacdaeef-254f-42e6-80f6-7a907e2992b3";"2017-06-15T18:58:13";"139"
"2017-06-15T12:55:59.409-03";"ac:d0:74:8c:6f:d7";"Bruna";"6";"";"34";"nenhum";"centro";"mais de direita";"não sei";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não sei";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"não confia";"confia muito";"confia muito";"confia muito";"não confia";"confia pouco";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"branca";"";"igreja renascer em Cristo";"";"4191609";"0d02b354-ef02-4c44-82ca-2f05af3ded8d";"2017-06-15T18:58:18";"140"
"2017-06-15T13:03:49.503-03";"ac:d0:74:8c:6f:d7";"Bruna";"6";"";"21";"nenhum";"nada disso";"";"pouco conservador";"nada antipetista";"";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"confia pouco";"não conhece";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio completo";"parda";"";"igreja renascer em Cristo";"";"4191610";"fd571e83-1547-42bd-9874-907e0d61ed72";"2017-06-15T18:58:21";"141"
"2017-06-15T13:12:26.001-03";"ac:d0:74:8c:6f:d7";"Bruna";"6";"";"22";"outro";"centro";"mais de squerda";"pouco conservador";"nada antipetista";"";"não concorda";"não sei";"não sei";"concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não confia";"não confia";"não conhece";"não confia";"não confia";"confia pouco";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino superior incompleto";"preta";"";"igreja renascer em Cristo";"";"4191612";"e5396d42-1ca1-41c7-abd2-cedd09b87842";"2017-06-15T18:58:22";"142"
"2017-06-15T13:19:02.815-03";"ac:d0:74:8c:6f:d7";"Bruna";"6";"";"27";"nenhum";"de direita";"";"pouco conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"";"não confia";"confia pouco";"não confia";"confia pouco";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino superior completo";"parda";"";"igreja renascer em Cristo";"";"4191613";"5e4db3ed-cb07-45b5-8b1f-a1b070780e4a";"2017-06-15T18:58:28";"143"
"2017-06-15T10:47:24.497-03";"ac:d0:74:78:6e:22";"Helena";"1
";"";"44";"nenhum";"nada disso";"";"pouco conservador";"não sei";"";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não conhece";"não confia";"confia pouco";"confia pouco";"não confia";"não conhece";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino fundamental completo";"parda";"";"igreja renascer em Cristo";"";"4191616";"44665780-08b0-4e1c-95b5-9a4cc13ff64f";"2017-06-15T19:00:24";"144"
"2017-06-15T10:57:15.027-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"35";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"não sei";"";"não confia";"não confia";"não confia";"não confia";"não confia";"confia pouco";"";"não concorda";"não concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior incompleto";"preta";"";"igreja renascer em Cristo";"";"4191618";"58a8692b-1a33-46e9-a419-a5e58eaf4cf2";"2017-06-15T19:00:41";"145"
"2017-06-15T11:03:29.817-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"22";"nenhum";"nada disso";"";"muito conservador";"pouco antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"não concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4191620";"f0ff4811-73e4-459d-b443-4ac43190b94e";"2017-06-15T19:00:54";"146"
"2017-06-15T11:10:51.857-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"42";"nenhum";"nada disso";"";"muito conservador";"pouco antipetista";"";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"não concorda";"não concorda";"não concorda";"concorda";"não sei";"não sei";"concorda";"concorda";"concorda";"concorda";"não sei";"não concorda";"";"não confia";"não confia";"não confia";"confia pouco";"confia pouco";"não confia";"";"não concorda";"não sabe";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino médio completo";"parda";"";"igreja renascer em Cristo";"";"4191621";"5dd4caf8-93e7-4ddc-81e8-ace89136bfbd";"2017-06-15T19:00:56";"147"
"2017-06-15T11:20:01.638-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"19";"nenhum";"não sei";"";"nada conservador";"não sei";"";"não concorda";"não concorda";"não concorda";"concorda";"não sei";"não sei";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"não sei";"não concorda";"não sei";"concorda";"não sei";"concorda";"não sei";"não concorda";"concorda";"não concorda";"não sei";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4191622";"6662b52e-fb24-4e77-bd86-8fd43420a362";"2017-06-15T19:00:57";"148"
"2017-06-15T11:29:10.914-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"56";"nenhum";"não sei";"";"pouco conservador";"nada antipetista";"";"não sei";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não conhece";"confia muito";"confia muito";"não confia";"não conhece";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino superior completo";"preta";"";"igreja renascer em Cristo";"";"4191623";"6291b60f-fb70-41ce-a81c-6dd595b61a89";"2017-06-15T19:00:58";"149"
"2017-06-15T11:36:37.480-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"32";"nenhum";"não sei";"";"muito conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"não sei";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"confia pouco";"não confia";"confia muito";"confia pouco";"confia pouco";"";"não concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio completo";"parda";"";"igreja renascer em Cristo";"";"4191624";"9b546bc3-73ac-47dd-af23-82ef396cf2a2";"2017-06-15T19:01:01";"150"
"2017-06-15T11:46:28.533-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"18";"nenhum";"nada disso";"";"pouco conservador";"nada antipetista";"";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior incompleto";"preta";"";"igreja renascer em Cristo";"";"4191625";"940d8f46-2dff-46e7-969e-decd51fc0f38";"2017-06-15T19:01:01";"151"
"2017-06-15T11:55:58.342-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"20";"não sei";"de direita";"";"muito conservador";"pouco antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio completo";"branca";"";"igreja renascer em Cristo";"";"4191626";"e9e13320-772e-4ef4-996a-05387c3a4274";"2017-06-15T19:01:02";"152"
"2017-06-15T12:05:35.782-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"33";"outro";"nada disso";"";"nada conservador";"pouco antipetista";"";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"confia pouco";"";"não concorda";"não concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino superior completo";"indígena";"";"igreja renascer em Cristo";"";"4191627";"9d101c37-6ce7-4afc-8d46-379faaa6f1dc";"2017-06-15T19:01:03";"153"
"2017-06-15T12:15:02.316-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"27";"nenhum";"nada disso";"";"pouco conservador";"não sei";"";"não sei";"concorda";"não concorda";"não sei";"não concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não sei";"não sei";"não concorda";"concorda";"concorda";"não sei";"não sei";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"parda";"";"igreja renascer em Cristo";"";"4191628";"b8fd89b7-bfa3-42e0-a8de-f649463ada56";"2017-06-15T19:01:05";"154"
"2017-06-15T12:21:40.415-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"29";"nenhum";"nada disso";"";"muito conservador";"nada antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4191629";"905d80e7-7b7d-4928-adc1-9e7aae18f82b";"2017-06-15T19:01:06";"155"
"2017-06-15T12:31:50.924-03";"ac:d0:74:78:6e:22";"Helena ";"1";"";"48";"nenhum";"não sei";"";"muito conservador";"pouco antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"confia pouco";"confia pouco";"não sabe";"não confia";"confia pouco";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"parda";"";"igreja renascer em Cristo";"";"4191630";"ec759faf-d1ee-4b42-bcb8-45a427a0e6eb";"2017-06-15T19:01:07";"156"
"2017-06-15T12:43:48.777-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"46";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não confia";"não confia";"não sabe";"confia pouco";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino fundamental incompleto";"amarela";"";"igreja renascer em Cristo";"";"4191631";"ef3c461c-83f3-4375-a9c7-92db53ed11c2";"2017-06-15T19:01:09";"157"
"2017-06-15T12:52:44.598-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"35";"nenhum";"não sei";"";"muito conservador";"pouco antipetista";"";"não sei";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"confia pouco";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4191632";"7f8ccb46-ee39-4f76-b998-12757ff6a77d";"2017-06-15T19:01:09";"158"
"2017-06-15T12:59:11.262-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"22";"nenhum";"de direita";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não sei";"não sei";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"";"não confia";"não confia";"não conhece";"confia pouco";"não confia";"confia pouco";"";"não concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"parda";"";"assembléia de Deus";"";"4191633";"ae30fd46-224d-41eb-8384-da51ba92e04e";"2017-06-15T19:01:10";"159"
"2017-06-15T13:07:38.495-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"20";"nenhum";"nada disso";"";"pouco conservador";"não sei";"";"não sei";"não sei";"não sei";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não sei";"não sei";"não sei";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"";"não conhece";"não sabe";"não conhece";"não sabe";"não sabe";"não sabe";"";"não concorda";"não concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior incompleto";"branca";"";"igreja renascer em Cristo";"";"4191634";"91956a74-749d-4eec-ab12-bbb77ef51eb6";"2017-06-15T19:01:11";"160"
"2017-06-15T13:13:42.076-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"40";"PT";"nada disso";"";"muito conservador";"pouco antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"parda";"";"igreja renascer em Cristo";"";"4191635";"81a9c77d-3885-469b-9677-78acbe8c2e9b";"2017-06-15T19:01:13";"161"
"2017-06-15T13:22:52.346-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"37";"não sei";"nada disso";"";"muito conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"confia muito";"não confia";"não confia";"não confia";"confia pouco";"";"não concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio completo";"parda";"";"igreja renascer em Cristo";"";"4191636";"cbbcc473-f5d5-4ab9-9a03-6ea4b7ef9bb3";"2017-06-15T19:01:15";"162"
"2017-06-15T13:36:27.843-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"52";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"não concorda";"";"masculino";"de R$9.370,00 até R$18.740,00";"ensino médio completo";"parda";"";"outra";"De cristo";"4191637";"b4a04b0b-a6c6-4e88-b006-b30a371358bd";"2017-06-15T19:01:16";"163"
"2017-06-15T13:56:05.842-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"41";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"";"não confia";"confia muito";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"parda";"";"igreja renascer em Cristo";"";"4191638";"7fe9922b-e360-4a8b-923e-8f5403bf5fec";"2017-06-15T19:01:17";"164"
"2017-06-15T14:55:51.866-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"19";"nenhum";"centro";"mais de direita";"muito conservador";"pouco antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"";"confia pouco";"não confia";"não sabe";"não confia";"confia pouco";"confia pouco";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino superior incompleto";"parda";"";"assembléia de Deus";"";"4191639";"b88d91ee-55b1-4374-b812-a4ceb9f437e1";"2017-06-15T19:01:20";"165"
"2017-06-15T15:01:18.350-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"17";"nenhum";"nada disso";"";"pouco conservador";"não sei";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"confia pouco";"não confia";"não confia";"não confia";"confia pouco";"não confia";"";"não concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio incompleto";"preta";"";"igreja renascer em Cristo";"";"4191640";"d96f1008-400e-4072-93a4-efd0ae203009";"2017-06-15T19:01:22";"166"
"2017-06-15T15:06:57.391-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"22";"não sei";"não sei";"";"pouco conservador";"não sei";"";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não sabe";"não sabe";"não sabe";"não sabe";"não sabe";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino superior incompleto";"preta";"";"assembléia de Deus";"";"4191641";"83bae719-b3f6-4786-9338-c9d1fc3397cd";"2017-06-15T19:01:22";"167"
"2017-06-15T15:14:34.970-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"19";"nenhum";"nada disso";"";"pouco conservador";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"";"não confia";"não confia";"não conhece";"não confia";"confia pouco";"confia pouco";"";"não concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio completo";"preta";"";"assembléia de Deus";"";"4191642";"00a24f35-156e-4bff-b301-4475544902ca";"2017-06-15T19:01:24";"168"
"2017-06-15T15:21:00.555-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"26";"PSDB";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"";"não confia";"confia pouco";"não conhece";"confia pouco";"não confia";"confia pouco";"";"não concorda";"concorda";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino superior incompleto";"preta";"";"igreja renascer em Cristo";"";"4191643";"9d8d2d3a-d3a9-4c63-b9b5-c25f32bcb8df";"2017-06-15T19:01:25";"169"
"2017-06-15T15:26:50.193-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"21";"PMDB";"não sei";"";"muito conservador";"pouco antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"confia pouco";"confia pouco";"não confia";"não confia";"confia pouco";"confia pouco";"";"não concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"branca";"";"igreja batista";"";"4191644";"b689ae68-0fb5-4c63-a95c-3b356e748ddb";"2017-06-15T19:01:26";"170"
"2017-06-15T15:32:11.917-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"29";"nenhum";"nada disso";"";"muito conservador";"pouco antipetista";"";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"concorda";"não sei";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"";"confia muito";"confia muito";"confia pouco";"confia pouco";"confia pouco";"confia muito";"";"não concorda";"não concorda";"";"masculino";"até R$1.880,00";"ensino médio completo";"parda";"";"outra";"Comunidade evangélica cidade de refugio ";"4191645";"5819144a-0b4f-4c5b-892a-7665165a055d";"2017-06-15T19:01:27";"171"
"2017-06-15T15:47:39.098-03";"ac:d0:74:78:6e:22";"Helena";"1";"";"19";"nenhum";"nada disso";"";"muito conservador";"pouco antipetista";"";"não sei";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"não concorda";"não concorda";"não concorda";"concorda";"não sei";"não sei";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"não confia";"confia pouco";"não conhece";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"até R$1.880,00";"ensino superior incompleto";"branca";"";"igreja renascer em Cristo";"";"4191646";"b7d5c301-cc1f-44b6-84d4-c1412f8c4cda";"2017-06-15T19:01:30";"172"
