Timestamp,Entrevistador,Número do questionário,Horário,Região,1. Idade,2. Sexo,3. Renda familiar,4. Escolaridade,5. Cor,6. Você confia na imprensa?,7. Você confia nos partidos políticos?,Partidos: [8. PT],Partidos: [9. PSDB],Partidos: [10. PMDB],Partidos: [11. Rede],Partidos: [12. PSOL],Partidos: [13. PSTU],14. Você confia nas ONGS?,15. Você confia nos movimentos sociais?,Movimentos: [16. Movimento Brasil Livre],Movimentos: [17. Estudantes secundaristas],Movimentos: [18. MPL],Movimentos: [19. MST],Movimentos: [20. MTST],Movimentos: [21. Vem pra Rua],Movimentos: [22. Revoltados Online],23. Você confia nos políticos?,24. Você votou nas últimas eleições para Presidente?,25. Em quem votou?,26. Você é a favor do Impeachment da presidenta Dilma Rousseff?,27. Você foi em alguma manifestação a favor do Impeachment?,28. Você foi em alguma manifestação contrária ao Impeachment?,"29. Você foi em alguma manifestação pedindo o ""fora todos""?",30. Você se informa sobre política no Twitter?,31. Você se informa sobre política no Whatsapp?,32. Você se informa sobre política no Facebook?,33. Não há grande diferença entre governos de esquerda e de direita.,34. O PT é um partido corrupto.,"35. Conquistas do governo do PT como o Bolsa Família, o FIES e o Minha Casa, Minha Vida melhoraram a vida dos brasileiros",36. Os movimentos sociais deveriam ser independentes dos partidos políticos
5/14/2016 17:58:33,Vanda,1,2:10:00 PM,1 vão do masp,31,Feminino,"até R$ 1.760,00",ensino médio incompleto,parda,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,não confia,não,,sim,sim,não,não,nada,nada,pouco,concordo em parte,concordo totalmente,concordo em parte,concordo totalmente
5/14/2016 18:06:48,Vanda,2,2:14:00 PM,1 vão do masp,19,Feminino,de R$ 8.800 a R$ 17.600,ensino superior incompleto,branca,não confia,confia pouco,confia pouco,não confia,não confia,não conhece,não conhece,não conhece,confia pouco,confia muito,não conhece,confia muito,não conhece,não conhece,não confia,confia muito,confia muito,confia pouco,sim,Dilma,não,não,não,não,nada,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 18:13:22,Vanda,3,2:20:00 PM,1 vão do masp,17,Feminino,de R$ 4.400 a R$ 8.800,ensino médio incompleto,parda,confia pouco,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,não conhece,confia muito,confia pouco,não confia,não confia,não confia,não confia,não confia,não,,não sei,sim,não,não,nada,nada,pouco,concordo em parte,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 18:19:27,Vanda,4,2:24:00 PM,1 vão do masp,25,Feminino,de R$ 2.640 a R$ 4.400,ensino superior incompleto,amarela,não confia,não confia,não confia,não confia,não conhece,não confia,confia pouco,não conhece,confia pouco,confia muito,não conhece,confia muito,confia muito,confia pouco,confia muito,confia muito,não conhece,não confia,sim,Marina Silva,não,não,não,não,nada,pouco,pouco,concordo em parte,concordo em parte,concordo em parte,concordo totalmente
5/14/2016 18:24:44,Vanda,5,2:29:00 PM,1 vão do masp,28,Masculino,"até R$ 1.760,00",ensino médio completo,preta,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia muito,confia muito,confia pouco,não confia,não confia,não,,não,não,sim,sim,nada,nada,nada,concordo em parte,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 18:30:21,Vanda,6,2:33:00 PM,1 vão do masp,17,Masculino,de R$ 8.800 a R$ 17.600,ensino médio incompleto,parda,não confia,confia pouco,não confia,não confia,não confia,não confia,confia pouco,não conhece,confia pouco,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia pouco,não confia,não,,não,não,não,sim,muito,pouco,pouco,concordo em parte,concordo totalmente,concordo em parte,concordo totalmente
5/14/2016 18:36:12,Vanda,7,2:37:00 PM,1 vão do masp,16,Feminino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,branca,não confia,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,não,,não,não,não,não,nada,muito,muito,concordo em parte,concordo em parte,concordo em parte,concordo totalmente
5/14/2016 18:41:28,Vanda,8,2:40:00 PM,1 vão do masp,16,Feminino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,parda,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não conhece,confia muito,não confia,confia pouco,confia pouco,confia muito,não confia,não confia,não,,não,não,sim,não,nada,muito,muito,concordo em parte,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 18:46:06,Vanda,9,2:43:00 PM,1 vão do masp,31,Feminino,de R$ 8.800 a R$ 17.600,ensino superior completo,parda,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,confia muito,confia muito,não confia,confia muito,confia pouco,confia pouco,confia muito,não confia,não confia,não confia,sim,Eduardo Jorge,não,não,sim,não,muito,pouco,nada,concordo em parte,concordo em parte,concordo totalmente,não concordo
5/14/2016 18:50:55,Vanda,10,2:47:00 PM,1 vão do masp,29,Masculino,"até R$ 1.760,00",ensino superior completo,branca,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,não confia,confia muito,confia pouco,não confia,confia pouco,não conhece,não conhece,não confia,sim,Eduardo Jorge,não,não,não,não,pouco,nada,nada,concordo em parte,concordo em parte,concordo em parte,concordo totalmente
5/14/2016 18:55:18,Vanda,11,2:51:00 PM,1 vão do masp,31,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,parda,não confia,confia pouco,confia pouco,não confia,não confia,não conhece,confia muito,confia pouco,confia pouco,confia muito,não confia,confia muito,confia pouco,confia pouco,confia pouco,não conhece,não confia,confia pouco,sim,Dilma,não,não,sim,não,nada,nada,pouco,concordo em parte,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 19:00:05,Vanda,12,2:54:00 PM,1 vão do masp,23,Masculino,"até R$ 1.760,00",ensino superior incompleto,preta,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia muito,confia pouco,confia muito,confia muito,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,não confia,não confia,não confia,sim,Nulo,não,não,não,não,nada,nada,nada,concordo em parte,concordo totalmente,concordo totalmente,concordo totalmente
5/14/2016 19:04:03,Vanda,13,2:57:00 PM,1 vão do masp,33,Masculino,"até R$ 1.760,00",ensino médio completo,preta,não confia,confia pouco,confia pouco,não confia,não confia,confia pouco,confia pouco,confia pouco,confia muito,confia muito,não conhece,não conhece,confia muito,confia pouco,confia muito,confia muito,não conhece,confia pouco,não,,não,não,não,sim,nada,pouco,muito,concordo em parte,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 19:08:12,Vanda,14,3:01:00 PM,1 vão do masp,51,Masculino,de R$ 2.640 a R$ 4.400,ensino superior completo,branca,não confia,não confia,confia pouco,não confia,não confia,confia muito,confia pouco,não confia,confia pouco,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não conhece,não confia,não confia,sim,Dilma,não,não,sim,não,nada,pouco,muito,concordo em parte,concordo em parte,concordo totalmente,concordo em parte
5/14/2016 19:12:01,Vanda,15,3:04:00 PM,1 vão do masp,15,Feminino,de R$ 1.760 a R$ 2.640,ensino fundamental completo,preta,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia muito,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,não confia,não,,não,não,sim,não,muito,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 19:16:32,Vanda,16,3:07:00 PM,1 vão do masp,16,Feminino,de R$ 1.760 a R$ 2.640,ensino médio incompleto,parda,não confia,não confia,confia pouco,não confia,não conhece,não conhece,confia muito,não conhece,confia pouco,confia muito,confia pouco,confia muito,confia muito,confia muito,confia muito,confia pouco,não conhece,confia pouco,não,,não,não,não,não,nada,pouco,pouco,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 19:20:13,Vanda,17,3:10:00 PM,1 vão do masp,33,Masculino,"até R$ 1.760,00",ensino superior incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia muito,não confia,confia muito,confia pouco,confia muito,confia muito,não confia,não confia,não confia,sim,Luciana Genro,não,não,sim,não,nada,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 19:24:15,Vanda,18,3:14:00 PM,1 vão do masp,20,Feminino,de R$ 8.800 a R$ 17.600,ensino superior incompleto,branca,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não confia,não confia,confia pouco,sim,Luciana Genro,não,não,sim,não,pouco,pouco,muito,não concordo,concordo em parte,concordo totalmente,concordo em parte
5/14/2016 19:27:43,Vanda,19,3:17:00 PM,1 vão do masp,23,Feminino,"até R$ 1.760,00",ensino superior completo,preta,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia muito,confia pouco,confia muito,confia muito,confia pouco,confia pouco,confia pouco,não confia,não confia,sim,Dilma,não,não,sim,sim,muito,pouco,pouco,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 19:31:42,Vanda,20,3:21:00 PM,1 vão do masp,18,Masculino,"até R$ 1.760,00",ensino médio incompleto,branca,não confia,não confia,confia pouco,não confia,não confia,não conhece,confia pouco,não conhece,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,não conhece,não confia,não,,não,não,não,não,nada,pouco,pouco,não concordo,concordo em parte,concordo em parte,concordo em parte
5/14/2016 21:48:26,Alan Ferreira Silva,1,2:12:00 PM,III,16,Masculino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,parda,não confia,não confia,confia pouco,não confia,não confia,não conhece,não conhece,não conhece,confia muito,confia muito,não conhece,confia muito,confia muito,confia muito,confia muito,não confia,não confia,confia pouco,não,,não,não,não,não,nada,nada,nada,concordo totalmente,não concordo,concordo totalmente,concordo totalmente
5/14/2016 21:52:02,Alan Ferreira Silva,2,2:19:00 PM,III,25,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,branca,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não conhece,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não conhece,não confia,não confia,sim,Dilma,não,não,sim,não,nada,nada,muito,concordo em parte,concordo totalmente,concordo totalmente,concordo totalmente
5/14/2016 21:56:07,Alan Ferreira Silva,3,2:25:00 PM,III,17,Masculino,acima de R$ 17.600,ensino superior incompleto,branca,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,confia muito,confia pouco,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,confia muito,não,,sim,sim,não,não,nada,nada,nada,não concordo,concordo totalmente,concordo em parte,não concordo
5/14/2016 21:59:53,Alan Ferreira Silva,4,2:32:00 PM,III,17,Masculino,de R$ 1.760 a R$ 2.640,ensino superior incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,confia muito,não,,sim,sim,não,não,nada,pouco,nada,não sei,concordo totalmente,concordo totalmente,concordo totalmente
5/14/2016 22:02:53,Alan Ferreira Silva,5,2:39:00 PM,III,21,Feminino,de R$ 8.800 a R$ 17.600,ensino superior incompleto,branca,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,não conhece,confia muito,confia muito,não confia,confia muito,não conhece,não conhece,não confia,sim,Dilma,sim,não,não,,nada,nada,nada,concordo totalmente,concordo totalmente,não concordo,não concordo
5/14/2016 22:08:08,Alan Ferreira Silva,6,2:45:00 PM,III,18,Masculino,de R$ 1.760 a R$ 2.640,ensino médio completo,parda,não confia,confia muito,confia pouco,não confia,não confia,não confia,confia pouco,não confia,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,não confia,sim,Luciana Genro,não,não,não,,,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 22:10:43,Alan Ferreira Silva,7,2:53:00 PM,III,18,Masculino,de R$ 2.640 a R$ 4.400,ensino médio completo,preta,não confia,confia pouco,confia muito,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia muito,não confia,confia muito,confia muito,não confia,não confia,não confia,não confia,não confia,não,,não,não,não,,nada,muito,muito,não concordo,não concordo,não concordo,concordo totalmente
5/14/2016 22:13:26,Alan Ferreira Silva,8,2:59:00 PM,III,18,Masculino,"até R$ 1.760,00",ensino médio completo,preta,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,não confia,não,,sim,sim,não,,nada,nada,nada,concordo totalmente,concordo totalmente,concordo em parte,concordo totalmente
5/14/2016 22:16:50,Alan Ferreira Silva,9,3:10:00 PM,III,14,Masculino,"até R$ 1.760,00",ensino fundamental incompleto,branca,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não conhece,não conhece,não confia,não,,não sei,não,sim,,muito,muito,muito,não concordo,concordo totalmente,concordo em parte,concordo totalmente
5/14/2016 22:19:24,Alan Ferreira Silva,10,3:19:00 PM,III,,Masculino,"até R$ 1.760,00",ensino médio incompleto,preta,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,não conhece,não confia,não,,não,não,sim,,muito,muito,muito,não concordo,concordo totalmente,concordo em parte,concordo totalmente
5/14/2016 22:22:33,Alan Ferreira Silva,11,3:26:00 PM,III,27,Masculino,de R$ 2.640 a R$ 4.400,ensino superior completo,parda,não confia,não confia,confia pouco,não confia,não confia,não conhece,confia muito,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,confia muito,confia muito,confia pouco,não confia,não confia,sim,Luciana Genro,não,não,sim,,muito,muito,muito,concordo totalmente,concordo em parte,concordo totalmente,concordo em parte
5/14/2016 22:25:37,Alan Ferreira Silva,12,3:33:00 PM,III,17,Masculino,de R$ 1.760 a R$ 2.640,ensino médio completo,amarela,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia pouco,confia pouco,não confia,não,,não sei,não,não,,nada,muito,muito,não concordo,concordo totalmente,não concordo,concordo em parte
5/14/2016 22:28:32,Alan Ferreira Silva,13,3:39:00 PM,III,16,Feminino,de R$ 4.400 a R$ 8.800,ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,confia muito,não conhece,confia muito,confia pouco,não confia,confia pouco,confia pouco,não conhece,não confia,não,,não,não,não,,pouco,pouco,muito,não concordo,concordo totalmente,concordo totalmente,concordo totalmente
5/14/2016 22:31:38,Alan Ferreira Silva,14,3:44:00 PM,III,18,Masculino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,amarela,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia pouco,confia pouco,confia pouco,confia muito,confia muito,não conhece,confia muito,não confia,não,,sim,não,não,,nada,nada,muito,concordo em parte,concordo totalmente,concordo em parte,concordo totalmente
5/14/2016 22:44:30,Alan Ferreira Silva,15,3:51:00 PM,III,17,Feminino,de R$ 8.800 a R$ 17.600,ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,não confia,não,,não,não,não,,muito,nada,muito,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente
5/14/2016 22:46:58,Alan Ferreira Silva,16,4:01:00 PM,III,19,Masculino,de R$ 1.760 a R$ 2.640,ensino médio completo,branca,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia pouco,confia muito,confia muito,confia muito,confia muito,confia pouco,confia pouco,não confia,sim,Dilma,não,não,não,,nada,nada,muito,concordo totalmente,concordo em parte,concordo em parte,concordo totalmente
5/14/2016 22:49:33,Alan Ferreira Silva,17,4:12:00 PM,III,20,Masculino,de R$ 1.760 a R$ 2.640,ensino médio completo,preta,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,confia pouco,confia muito,confia muito,não confia,não confia,sim,Nulo,não,não,não,,nada,nada,muito,não sei,concordo totalmente,concordo totalmente,não concordo
5/14/2016 22:52:21,Alan Ferreira Silva,18,4:19:00 PM,III,17,Masculino,de R$ 2.640 a R$ 4.400,ensino superior incompleto,branca,não confia,não confia,confia pouco,confia pouco,confia pouco,não conhece,não conhece,não conhece,confia pouco,confia pouco,não confia,confia pouco,confia muito,confia pouco,não conhece,não confia,não conhece,não confia,não,,não sei,não,não,,nada,nada,nada,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/14/2016 22:54:55,Alan Ferreira Silva,19,4:24:00 PM,III,58,Feminino,de R$ 1.760 a R$ 2.640,ensino fundamental completo,branca,,não confia,não confia,não confia,não confia,não conhece,não confia,não confia,confia muito,confia pouco,não conhece,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,confia pouco,sim,Dilma,sim,não,não,,nada,nada,nada,concordo totalmente,concordo totalmente,concordo totalmente,não concordo
5/14/2016 23:00:23,Alan Ferreira Silva,20,4:31:00 PM,III,47,Feminino,de R$ 2.640 a R$ 4.400,ensino fundamental incompleto,parda,confia pouco,não confia,confia pouco,não confia,não confia,não conhece,não confia,não conhece,confia pouco,confia pouco,não conhece,confia muito,confia pouco,confia pouco,confia muito,não confia,não confia,não confia,sim,Dilma,não,não,sim,,nada,nada,pouco,não sei,concordo em parte,concordo totalmente,concordo totalmente
5/15/2016 11:10:51,Maria Beatriz,1,2:00:00 PM,3,17,Feminino,de R$ 4.400 a R$ 8.800,ensino médio completo,parda,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,não conhece,confia muito,confia pouco,não confia,não confia,não confia,não confia,confia pouco,não,,não sei,sim,não,não,nada,pouco,pouco,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/15/2016 11:13:21,Maria Beatriz,2,2:00:00 PM,3,20,Feminino,de R$ 2.640 a R$ 4.400,ensino superior incompleto,branca,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia muito,confia pouco,confia muito,confia muito,não confia,confia muito,confia pouco,confia muito,confia muito,não confia,não confia,confia pouco,sim,Luciana Genro,não,não,sim,não,nada,pouco,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/15/2016 11:15:37,Maria Beatriz,3,2:00:00 PM,3,20,Feminino,,ensino médio completo,branca,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia pouco,confia muito,não confia,confia pouco,confia muito,não confia,não confia,não,,não sei,não,não,não,nada,nada,muito,não concordo,concordo em parte,não concordo,concordo totalmente
5/15/2016 11:17:52,Maria Beatriz,4,2:00:00 PM,3,16,Masculino,de R$ 8.800 a R$ 17.600,ensino médio incompleto,branca,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,confia muito,confia muito,confia muito,confia muito,confia muito,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,não,,não,não,sim,não,nada,nada,nada,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/15/2016 11:19:48,Maria Beatriz,17,2:00:00 PM,3,17,Masculino,de R$ 4.400 a R$ 8.800,ensino médio incompleto,branca,não confia,não confia,confia pouco,não confia,não confia,não confia,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,não,,não,não,não,não,nada,pouco,muito,não concordo,concordo em parte,concordo totalmente,não concordo
5/15/2016 11:22:07,Maria Beatriz,7,2:00:00 PM,3,37,Feminino,acima de R$ 17.600,ensino superior completo,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,confia muito,confia muito,confia pouco,confia pouco,confia pouco,não confia,não confia,sim,Nulo,não,não,não,não,nada,nada,nada,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/15/2016 11:24:11,Maria Beatriz,62,2:00:00 PM,3,62,Feminino,"até R$ 1.760,00",ensino superior completo,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,não confia,não,,não,não,sim,sim,nada,nada,pouco,concordo em parte,concordo em parte,concordo totalmente,concordo em parte
5/15/2016 11:31:06,Maria Beatriz,8,2:40:00 PM,3,29,Masculino,de R$ 4.400 a R$ 8.800,ensino superior completo,branca,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia pouco,não confia,confia muito,confia muito,confia muito,confia muito,confia pouco,confia pouco,confia pouco,sim,Dilma,não,não,não,não,nada,nada,nada,concordo totalmente,concordo em parte,concordo em parte,concordo totalmente
5/15/2016 11:33:59,Maria Beatriz,9,2:40:00 PM,3,19,Masculino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,parda,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não,,não,não,sim,não,nada,nada,muito,concordo totalmente,concordo totalmente,concordo totalmente,concordo totalmente
5/15/2016 11:43:07,Maria Beatriz,10,2:40:00 PM,3,26,Masculino,"até R$ 1.760,00",ensino superior completo,parda,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia muito,confia pouco,não confia,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,confia pouco,não conhece,não confia,sim,Dilma,não,não,sim,não,pouco,pouco,muito,concordo em parte,não concordo,concordo totalmente,não concordo
5/15/2016 11:46:59,Maria Beatriz,11,3:00:00 PM,3,42,Masculino,"até R$ 1.760,00",ensino médio incompleto,branca,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,não confia,confia muito,confia pouco,confia pouco,confia muito,não conhece,não confia,sim,Outro,não,não,não,não,pouco,nada,pouco,concordo totalmente,concordo totalmente,concordo em parte,concordo totalmente
5/15/2016 11:49:13,Maria Beatriz,12,3:00:00 PM,3,17,Feminino,,ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,não confia,confia pouco,não confia,confia pouco,confia muito,confia pouco,não confia,não,,sim,não,não,não,nada,nada,muito,não concordo,concordo em parte,concordo em parte,concordo totalmente
5/15/2016 11:51:47,Maria Beatriz,13,3:00:00 PM,3,32,Masculino,de R$ 4.400 a R$ 8.800,ensino médio completo,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,não conhece,confia muito,confia pouco,confia pouco,confia muito,confia pouco,não confia,sim,Nulo,sim,sim,não,não,nada,nada,nada,não concordo,concordo em parte,não concordo,concordo totalmente
5/15/2016 11:54:16,Maria Beatriz,14,3:00:00 PM,3,27,Masculino,de R$ 4.400 a R$ 8.800,ensino superior completo,branca,não confia,não confia,confia pouco,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não confia,não confia,confia muito,sim,Eduardo Jorge,não,não,sim,não,pouco,muito,muito,não concordo,concordo em parte,concordo totalmente,concordo em parte
5/15/2016 11:56:58,Maria Beatriz,15,3:00:00 PM,3,44,Masculino,de R$ 1.760 a R$ 2.640,ensino fundamental completo,amarela,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia muito,não conhece,confia pouco,não confia,não confia,confia muito,não conhece,não confia,não,,sim,sim,não,não,nada,pouco,muito,concordo totalmente,concordo totalmente,concordo em parte,concordo totalmente
5/15/2016 11:59:39,Maria Beatriz,16,3:00:00 PM,3,18,Feminino,"até R$ 1.760,00",ensino superior incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,confia pouco,não,,não,não,sim,não,nada,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
