"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera feminista?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Para terminar este bloco vou fazer duas perguntas.";"Você concorda com a reforma da previdência do governo Temer?";"Você é a favor da permanência do presidente Temer no governo?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2017-03-15T15:21:07.681-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"24";"Outro";"nada disso";"";"não sei";"muito feminista";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"até R$1880,00";"ensino médio incompleto";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984204";"a8f50fb0-cfa2-499f-8d5d-7c6cab2b0693";"2017-03-15T21:34:18";"1"
"2017-03-15T15:29:10.807-03";"ac:d0:74:8d:11:27";"Vítor";"Masp";"";"26";"PSOL";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984205";"bb21efaa-442f-4bbf-82cc-77fd3359809d";"2017-03-15T21:34:18";"2"
"2017-03-15T15:37:55.036-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"37";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984206";"573854a6-a9b8-4e00-9820-7783dbacbf91";"2017-03-15T21:34:19";"3"
"2017-03-15T15:47:05.345-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"50";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984207";"38735ba2-46fa-43a4-9909-6f531d330951";"2017-03-15T21:34:20";"4"
"2017-03-15T16:05:18.485-03";"ac:d0:74:8d:11:27";"Vitor";"MASP
";"";"29";"PCdoB";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984208";"19469c9a-707f-4a51-88cf-6958b876f775";"2017-03-15T21:34:22";"5"
"2017-03-15T16:08:59.029-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"29";"Não sei";"de esquerda";"";"nada conservador";"muito feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984209";"ee2cbf5e-7351-4c54-a19a-41e0a22a7f47";"2017-03-15T21:34:23";"6"
"2017-03-15T16:44:57.190-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"25";"PCdoB";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984210";"eed44fcf-314b-416b-95fa-640d4d9888ee";"2017-03-15T21:34:24";"7"
"2017-03-15T16:48:35.178-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"45";"PSOL";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984211";"3825d39f-6b14-4d47-ba15-c01f8c7c1ad3";"2017-03-15T21:34:25";"8"
"2017-03-15T17:00:20.982-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"46";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984212";"052d2022-ff09-46f4-baba-3a3cc0d17f0c";"2017-03-15T21:34:25";"9"
"2017-03-15T17:02:58.050-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"55";"PT";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984213";"6c41b7b9-1c90-4532-98a6-d0857319f3e7";"2017-03-15T21:34:26";"10"
"2017-03-15T17:12:15.078-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"36";"PT";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984214";"243f88b3-82d0-4362-afb3-2bbfd52bf299";"2017-03-15T21:34:27";"11"
"2017-03-15T17:17:09.089-03";"ac:d0:74:8d:11:27";"Vítor";"MASP";"";"17";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$2810,00 até R$4690,00";"ensino médio incompleto";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984215";"a4daeada-1ccc-4f98-bb61-23e9b7924074";"2017-03-15T21:34:27";"12"
"2017-03-15T17:22:28.885-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"45";"Outro";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"até R$1880,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984216";"61e730a8-2408-4a3d-b1fc-84a6048b1494";"2017-03-15T21:34:28";"13"
"2017-03-15T17:36:01.447-03";"ac:d0:74:8d:11:27";"Vítor";"Masp";"";"27";"PT";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$2810,00 até R$4690,00";"ensino médio completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984217";"0c89ddca-d23a-47bc-a049-bb0685e26e39";"2017-03-15T21:34:28";"14"
"2017-03-15T17:43:49.986-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"23";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"até R$1880,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984218";"8faa6215-723a-43b5-806b-4c5fd5af489f";"2017-03-15T21:34:31";"15"
"2017-03-15T17:51:33.037-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"17";"Nenhum";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"";"";"";"outro";"até R$1880,00";"ensino superior completo";"preta";"";"vc8VSg82UGuAKfa9oaFBEN";"2984219";"082ee77b-5e80-46ae-a678-4484d020d478";"2017-03-15T21:34:32";"16"
"2017-03-15T17:58:20.409-03";"ac:d0:74:8d:11:27";"Vítor";"Masp";"";"55";"PSOL";"de esquerda";"";"nada conservador";"pouco feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"";"";"";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior incompleto";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984220";"37d7c0c9-a4b8-4844-bb6f-daabf10b122b";"2017-03-15T21:34:32";"17"
"2017-03-15T18:08:02.059-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"35";"PSOL";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"até R$1880,00";"ensino superior incompleto";"preta";"";"vc8VSg82UGuAKfa9oaFBEN";"2984221";"07be2131-0c21-4c2d-b5f5-80766bf43dec";"2017-03-15T21:34:33";"18"
"2017-03-15T18:16:39.345-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"22";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$1880,00 até R$2810,00";"ensino superior incompleto";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984222";"b12461fb-ee24-4414-80f5-82fa442e4d46";"2017-03-15T21:34:34";"19"
"2017-03-15T15:07:21.783-03";"18:fe:34:08:78:67";"Hudson";"Masp";"";"24";"Nenhum";"nada disso";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$4690,00 até R$9370,00";"ensino médio completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984280";"25b5fea9-842b-4517-af9d-c5f06eafc599";"2017-03-15T22:36:57";"20"
"2017-03-15T15:28:00.715-03";"18:fe:34:08:78:67";"Hudson";"Masp";"";"47";"PT";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior incompleto";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984281";"bbf10ab2-7f24-42d8-b19c-542b4a9a6c99";"2017-03-15T22:36:58";"21"
"2017-03-15T15:33:17.784-03";"18:fe:34:08:78:67";"Hudson ";"Masp";"";"45";"PT";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$1880,00 até R$2810,00";"ensino médio completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984282";"721ff142-8696-45c1-ab81-4721734f1402";"2017-03-15T22:36:58";"22"
"2017-03-15T15:37:57.545-03";"18:fe:34:08:78:67";"Huds";"Masp";"";"18";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$4690,00 até R$9370,00";"ensino médio completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984283";"9b352be2-ff5e-40dc-b7b9-d0755912602d";"2017-03-15T22:36:59";"23"
"2017-03-15T15:42:55.422-03";"18:fe:34:08:78:67";"Huds";"Masp";"";"63";"Nenhum";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"não concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"não sei";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"";"";"";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"outra";"Homo sapiens";"vc8VSg82UGuAKfa9oaFBEN";"2984284";"de2fec13-a3d5-4fc8-9bb3-e96ffcd9e05a";"2017-03-15T22:36:59";"24"
"2017-03-15T15:49:39.131-03";"18:fe:34:08:78:67";"Huds";"Masp";"";"20";"Nenhum";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"até R$1880,00";"ensino médio completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984285";"f87f4819-ace9-4e23-98c4-31fd83195ce2";"2017-03-15T22:37:00";"25"
"2017-03-15T15:55:00.548-03";"18:fe:34:08:78:67";"Huds";"Masp";"";"45";"Nenhum";"nada disso";"";"pouco conservador";"pouco feminista";"pouco antipetista";"";"concorda";"não concorda";"não sei";"concorda";"não sei";"não concorda";"concorda";"concorda";"não sei";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não sei";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"não sei";"";"";"";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984286";"b39cdd7b-31d4-4e47-b1e7-dcce744f7f7f";"2017-03-15T22:37:00";"26"
"2017-03-15T16:00:15.482-03";"18:fe:34:08:78:67";"Hufds";"Masp";"";"24";"Nenhum";"não sei";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"até R$1880,00";"ensino médio completo";"preta";"";"vc8VSg82UGuAKfa9oaFBEN";"2984287";"755fc3c1-7d7d-496b-b20c-fb57174809fd";"2017-03-15T22:37:01";"27"
"2017-03-15T16:07:29.740-03";"18:fe:34:08:78:67";"Hudsom";"Masp";"";"26";"Nenhum";"de esquerda";"";"pouco conservador";"pouco feminista";"muito antipetista";"";"não sei";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"";"";"";"feminino";"até R$1880,00";"ensino superior completo";"indígena";"";"vc8VSg82UGuAKfa9oaFBEN";"2984288";"a318e684-00a4-4a45-8861-7f78eefb4329";"2017-03-15T22:37:01";"28"
"2017-03-15T16:17:38.843-03";"18:fe:34:08:78:67";"Huds";"Marisa ";"";"27";"Nenhum";"de direita";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"";"";"";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984289";"b0be57d3-cf52-4c21-8290-8d92d051c9fa";"2017-03-15T22:37:02";"29"
"2017-03-15T16:23:48.504-03";"18:fe:34:08:78:67";"Huds";"Masp";"";"28";"Nenhum";"centro";"mais de direita";"muito conservador";"nada feminista";"pouco antipetista";"";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"concorda";"";"";"";"";"masculino";"até R$1880,00";"ensino médio incompleto";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984290";"f0ed7524-90c1-4bbb-a461-410b600daa3b";"2017-03-15T22:37:02";"30"
"2017-03-15T16:30:23.830-03";"18:fe:34:08:78:67";"Hd";"Marisa";"";"46";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"até R$1880,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984291";"152f14ab-9fc4-49f1-bdeb-6521a97e866b";"2017-03-15T22:37:03";"31"
"2017-03-15T16:34:48.320-03";"18:fe:34:08:78:67";"Huds";"Marisa";"";"25";"Nenhum";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"até R$1880,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984292";"11fb95ca-2f71-4b0a-ab89-1f968dc4de4a";"2017-03-15T22:37:03";"32"
"2017-03-15T16:39:29.471-03";"18:fe:34:08:78:67";"Hudson";"Marisa";"";"42";"Nenhum";"de esquerda";"";"pouco conservador";"nada feminista";"nada antipetista";"";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"";"";"";"";"feminino";"de R$1880,00 até R$2810,00";"ensino superior completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984293";"a593efa6-8968-40c7-8c2d-a11048e2d12c";"2017-03-15T22:37:04";"33"
"2017-03-15T16:47:18.658-03";"18:fe:34:08:78:67";"Hud";"!ariaa";"";"18";"Nenhum";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"concorda";"não concorda";"concorda";"não sei";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"";"";"";"";"masculino";"até R$1880,00";"ensino médio incompleto";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984294";"c4d71fa0-0afb-46aa-b902-4650fd9b3e4f";"2017-03-15T22:37:04";"34"
"2017-03-15T16:52:37.977-03";"18:fe:34:08:78:67";"Huds";"Marisa";"";"34";"Nenhum";"nada disso";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$1880,00 até R$2810,00";"ensino superior completo";"preta";"";"vc8VSg82UGuAKfa9oaFBEN";"2984295";"cba1faf6-4862-4ec1-a9a7-e1b699a02a85";"2017-03-15T22:37:04";"35"
"2017-03-15T16:57:16.790-03";"18:fe:34:08:78:67";"Huds";"!asp";"";"50";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984296";"1176fe24-1950-412e-ba5a-2be62ceae9a8";"2017-03-15T22:37:05";"36"
"2017-03-15T19:57:10.994-03";"18:fe:34:08:78:67";"K";"I";"";"19";"Não sei";"não sei";"";"nada conservador";"não sei";"não sei";"";"não sei";"não sei";"não sei";"não concorda";"não sei";"não sei";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não sei";"não sei";"não sei";"não concorda";"não concorda";"não concorda";"não sei";"não sei";"não sei";"";"";"";"";"outro";"de R$4690,00 até R$9370,00";"ensino médio completo";"amarela";"";"vc8VSg82UGuAKfa9oaFBEN";"2984330";"47b5c44b-a70c-44c4-bbd6-4536e14e7802";"2017-03-15T22:58:31";"37"
"2017-03-15T15:09:28.597-03";"ac:d0:74:77:ab:b3";"Igor ";"Masp";"";"17";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior incompleto";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984425";"54233e04-0915-4f2f-a08a-b14d4814a3f1";"2017-03-16T00:01:56";"38"
