"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera feminista?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Para terminar este bloco vou fazer duas perguntas.";"Você concorda com a reforma da previdência do governo Temer?";"Você é a favor da permanência do presidente Temer no governo?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2017-03-26T17:31:18.658-03";"ac:d0:74:c4:b2:21";"Bianca";"1";"";"46";"Nenhum";"nada disso";"";"muito conservador";"nada feminista";"muito antipetista";"";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"";"não";"sim";"";"masculino";"de R$1880,00 até R$2810,00";"ensino médio completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098711";"fd691d69-7516-4bf5-97de-2605b0e3ae2a";"2017-03-26T21:33:53";"318"
"2017-03-26T17:37:36.397-03";"ac:d0:74:c4:b2:21";"Bianca ";"1";"";"73";"Nenhum";"de direita";"";"muito conservador";"nada feminista";"muito antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"";"não";"sim";"";"feminino";"de R$9370,00 até R$18740,00";"ensino médio completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098712";"5bd634bb-e8e9-4b6b-a104-fc856a4f3d44";"2017-03-26T21:33:54";"319"
"2017-03-26T17:47:43.984-03";"ac:d0:74:c4:b2:21";"Bianca";"1";"";"49";"Nenhum";"nada disso";"";"muito conservador";"nada feminista";"muito antipetista";"";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não sei";"concorda";"não sei";"não sei";"não concorda";"não sei";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"";"sim";"sim";"";"masculino";"de R$2810,00 até R$4690,00";"ensino médio completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098713";"363e6f5e-0243-4f9f-b811-afaaadad5ab7";"2017-03-26T21:33:55";"320"
"2017-03-26T14:16:02.937-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"61";"DEM";"centro";"mais de direita";"muito conservador";"pouco feminista";"pouco antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"vgn2sjciR5Jk9msQGsMPxT";"3098719";"447edbfa-92b0-4acf-b1b4-5f9a2bc99365";"2017-03-26T21:36:32";"321"
"2017-03-26T14:30:48.187-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"33";"Nenhum";"centro";"mais de direita";"muito conservador";"pouco feminista";"muito antipetista";"";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"";"não";"não";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"parda";"";"vgn2sjciR5Jk9msQGsMPxT";"3098720";"051c25ab-abdf-4f6f-8f6c-98824d51c72f";"2017-03-26T21:36:34";"322"
"2017-03-26T14:44:27.956-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"63";"Não sei";"de direita";"";"pouco conservador";"muito feminista";"muito antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não";"não";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098721";"58373001-6861-4bd9-bf38-3d27d9b6426d";"2017-03-26T21:36:35";"323"
"2017-03-26T14:53:54.526-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"37";"NOVO";"de direita";"";"pouco conservador";"nada feminista";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"";"sim";"não";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098722";"205c1d3e-5931-4aec-8450-c6344f20a997";"2017-03-26T21:36:36";"324"
"2017-03-26T14:59:04.022-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"60";"Nenhum";"nada disso";"";"nada conservador";"nada feminista";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não";"não";"";"feminino";"de R$1880,00 até R$2810,00";"ensino superior completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098723";"9a30abc7-b5c6-4834-a8bc-8a5dac57b3c8";"2017-03-26T21:36:36";"325"
"2017-03-26T15:06:27.894-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"55";"Nenhum";"nada disso";"";"pouco conservador";"nada feminista";"muito antipetista";"";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"";"não";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vgn2sjciR5Jk9msQGsMPxT";"3098724";"46e33175-0075-4ce6-9a30-a84b2a62ffbb";"2017-03-26T21:36:37";"326"
"2017-03-26T15:14:04.826-03";"ac:d0:74:c9:d7:95";"Mayara";"2";"";"67";"Nenhum";"nada disso";"";"pouco conservador";"pouco feminista";"muito antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"";"não";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino médio completo";"parda";"";"vgn2sjciR5Jk9msQGsMPxT";"3098725";"1d576bf2-ef6b-4589-995d-b112432da54b";"2017-03-26T21:36:37";"327"
