Indicação de data e hora,Entrevistador(a),Horário,Região,Idade,Sexo,Renda,Escolaridade,Cor,Como veio para manifestação,Está satisfeito(a) com o governo Dilma:,Imprensa,Partidos políticos,PT,PSDB,PMDB,REDE,PSOL,ONGs,Movimentos Sociais,Movimento Brasil Livre,Secundaristas,Passe Livre,MST,MTST,Vem Pra Rua,Revoltados Online,Políticos,Aécio Neves,Dilma Rousseff,Eduardo Cunha,Fernando Haddad,Geraldo Alckmin,Jair Bolsonaro,Jean Wyllys,José Serra,Luciana Genro,Lula,Marina Silva,Twitter,Whatsapp,Facebook,Entregar o poder para um político honesto,Entregar o poder para alguém de fora do jogo político,Entregar o poder para os militares,Entregar o poder para um juiz honesto,"Decisões políticas passem a ser tomadas pelos próprios cidadãos por meio de consultas, como os plebiscitos",Fortalecer organizações comunitárias como as ONGs e os movimentos sociais,Lava Jato,Zelotes,CPTM,Mensalão Petista,Mensalão Tucano,Os manifestantes pró-impeachment não querem o fim da corrupção: querem apenas retirar a presidente Dilma,É preciso descriminalizar as drogas para diminuir o encarceramento dos mais pobres,O juiz Sérgio Moro é filiado ao PSDB,Quem protesta contra a corrupção é apenas a classe média que não quer que os mais pobres melhorem de vida.,Os protestos de junho de 2013 foram orquestrados pela direita,Todo tipo de abuso contra a mulher deve ser punido com prisão,Os protestos contra a corrupção são articulados pelos Estados Unidos para se apropriar do pré-sal,Escracho contra quem viola direitos humanos é uma punição justa.,Número do questionário
01/04/2016 11:18:40,Kauê Avanzi,17:09:00,III,48,Masculino,de R$ 4.400 a R$ 8.800,ensino médio completo,Preta,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Não conhece,Não confia,Confia pouco,Confia muito,Confia pouco,nada,pouco,pouco,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,Não concorda,Não sei,2
01/04/2016 11:22:22,Kauê Avanzi,17:17:00,III,28,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Branca,veio atendendo convocação do sindicato ou movimento,Pouco satisfeito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Confia pouco,Confia muito,nada,muito,nada,Concordo totalmente,Concordo em parte,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,Não sei/não conheço,É grave,É grave,É grave,Não concorda,Não concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,3
01/04/2016 11:23:54,Enzo Antonacci,19:20:00,II,66,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Branca,veio espontaneamente,Nada satisfeito,Não confia,Não confia,Confia muito,Confia muito,Confia muito,Não confia,Confia pouco,Confia pouco,Confia muito,Não conhece,Não conhece,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Confia pouco,Não confia,nada,nada,nada,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Não sei,Concorda,Não concorda,Não concorda,Não concorda,Não sei,21
01/04/2016 11:25:47,Kauê Avanzi,17:24:00,III,37,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia muito,Confia pouco,nada,nada,muito,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Não concorda,4
01/04/2016 11:28:48,Enzo Antonacci,19:30:00,II,24,Feminino,acima de R$ 17.600,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Não confia,Não confia,Não confia,Não confia,Confia muito,Confia muito,Confia muito,Não confia,Confia muito,Confia muito,Confia pouco,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia pouco,Não confia,muito,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Não concorda,Não concorda,Não concorda,Não concorda,Não concorda,Concorda,22
01/04/2016 11:29:21,Kauê Avanzi,17:34:00,III,29,Masculino,"até R$ 1.760,00",ensino médio completo,Parda,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Não confia,pouco,pouco,muito,Concordo totalmente,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Não concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,5
01/04/2016 11:32:24,Enzo Antonacci,19:40:00,II,30,Masculino,de R$ 2.640 a R$ 4.400,ensino superior completo,-,veio espontaneamente,Pouco satisfeito,Confia pouco,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia pouco,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Confia pouco,nada,nada,,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo em parte,É grave,Não sei/não conheço,É grave,É grave,É grave,Não concorda,Concorda,Não concorda,Não concorda,Não concorda,Não concorda,Não sei,Não concorda,23
01/04/2016 11:33:38,Kauê Avanzi,17:42:00,III,50,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Não conhece,Não conhece,Confia pouco,Confia pouco,Não confia,Não conhece,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,muito,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Concorda,Não sei,Não sei,Não concorda,Não concorda,Não sei,Não sei,Concorda,6
01/04/2016 11:36:27,Enzo Antonacci,19:48:00,II,49,Masculino,de R$ 2.640 a R$ 4.400,ensino médio completo,Branca,veio atendendo convocação do sindicato ou movimento,Muito satisfeito,Confia pouco,Confia muito,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não conhece,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Não confia,Confia pouco,Não confia,Não confia,Não confia,Não confia,Não confia,Confia pouco,Não confia,pouco,pouco,pouco,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,Não é grave,Não é grave,Não é grave,Não é grave,Não é grave,Concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,Não sei,24
01/04/2016 11:37:00,Kauê Avanzi,17:49:00,III,36,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Preta,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não conhece,Confia muito,Confia pouco,Confia muito,Confia muito,Não conhece,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,muito,pouco,pouco,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,Não sei/não conheço,Não sei/não conheço,Concorda,Concorda,Concorda,Não concorda,Não concorda,Concorda,Não concorda,Não concorda,7
01/04/2016 11:39:34,Enzo Antonacci,19:56:00,II,37,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Preta,veio espontaneamente,Muito satisfeito,Não confia,Confia muito,Confia muito,Não confia,Não confia,Não confia,Confia muito,Confia muito,Confia muito,Não confia,Confia muito,Confia muito,Confia muito,Confia muito,Não conhece,Não conhece,Confia muito,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia muito,Não confia,nada,nada,pouco,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Não sei,Concorda,Não concorda,Concorda,Concorda,Não concorda,25
