Indicação de data e hora,Entrevistador(a),Horário,Região,Idade,Sexo,Renda,Escolaridade,Cor,Como veio para manifestação,Está satisfeito(a) com o governo Dilma:,Imprensa,Partidos políticos,PT,PSDB,PMDB,REDE,PSOL,ONGs,Movimentos Sociais,Movimento Brasil Livre,Secundaristas,Passe Livre,MST,MTST,Vem Pra Rua,Revoltados Online,Políticos,Aécio Neves,Dilma Rousseff,Eduardo Cunha,Fernando Haddad,Geraldo Alckmin,Jair Bolsonaro,Jean Wyllys,José Serra,Luciana Genro,Lula,Marina Silva,Twitter,Whatsapp,Facebook,Entregar o poder para um político honesto,Entregar o poder para alguém de fora do jogo político,Entregar o poder para os militares,Entregar o poder para um juiz honesto,"Decisões políticas passem a ser tomadas pelos próprios cidadãos por meio de consultas, como os plebiscitos",Fortalecer organizações comunitárias como as ONGs e os movimentos sociais,Lava Jato,Zelotes,CPTM,Mensalão Petista,Mensalão Tucano,Os manifestantes pró-impeachment não querem o fim da corrupção: querem apenas retirar a presidente Dilma,É preciso descriminalizar as drogas para diminuir o encarceramento dos mais pobres,O juiz Sérgio Moro é filiado ao PSDB,Quem protesta contra a corrupção é apenas a classe média que não quer que os mais pobres melhorem de vida.,Os protestos de junho de 2013 foram orquestrados pela direita,Todo tipo de abuso contra a mulher deve ser punido com prisão,Os protestos contra a corrupção são articulados pelos Estados Unidos para se apropriar do pré-sal,Escracho contra quem viola direitos humanos é uma punição justa.,Número do questionário
31/03/2016 23:28:28,Enzo Antonacci,16:45:00,II,55,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não conhece,Confia muito,Confia muito,Confia muito,Confia muito,Não conhece,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Confia muito,Não confia,nada,muito,muito,Concordo totalmente,Concordo totalmente,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Não concorda,Concorda,Não sei,Não sei,1
31/03/2016 23:36:59,Enzo Antonacci,16:51:00,II,47,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não conhece,Confia muito,Confia muito,Confia muito,Confia pouco,Confia muito,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,nada,muito,pouco,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Não concorda,2
31/03/2016 23:53:37,Enzo Antonacci,16:58:00,II,24,Feminino,de R$ 2.640 a R$ 4.400,ensino superior incompleto,Preta,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Confia pouco,,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Confia pouco,Não confia,nada,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,Não sei/não conheço,É grave,É grave,É grave,Concorda,Concorda,Não sei,Não concorda,Não concorda,Concorda,Concorda,Não concorda,3
01/04/2016 00:02:43,Enzo Antonacci,17:08:00,II,35,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,pouco,muito,muito,Concordo totalmente,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Não sei,Não concorda,Não concorda,Não concorda,Concorda,Concorda,Não sei,4
01/04/2016 00:04:40,Rafaela,16:56:00,1,19,Masculino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,Parda,veio atendendo convocação do sindicato ou movimento,Não sei,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Confia pouco,Não confia,Não conhece,Não conhece,Não conhece,Não conhece,Não conhece,Confia pouco,Não conhece,Não confia,Não confia,Confia pouco,Confia pouco,Não conhece,Confia pouco,Não conhece,Não conhece,Não confia,Não confia,Confia muito,Não confia,nada,nada,nada,Concordo totalmente,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,Não sei/não conheço,Não sei/não conheço,Não sei/não conheço,Não sei/não conheço,Não sei/não conheço,Concorda,Não concorda,Não sei,Concorda,Não sei,Concorda,Não sei,Não sei,1
01/04/2016 00:08:31,Enzo Antonacci,17:16:00,II,54,Masculino,de R$ 1.760 a R$ 2.640,ensino superior incompleto,Branca,veio espontaneamente,Muito satisfeito,Confia pouco,Confia pouco,Confia pouco,Não confia,Não confia,Não conhece,Não confia,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Confia muito,Confia muito,Confia muito,Confia muito,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Confia muito,nada,nada,nada,Concordo em parte,Concordo em parte,Não concordo,Concordo em parte,Concordo totalmente,Concordo em parte,É grave,É grave,É grave,Não sei/não conheço,É grave,Concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,5
01/04/2016 00:09:49,Rafaela,17:03:00,1,24,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não conhece,Confia muito,Confia muito,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não conhece,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Não confia,nada,nada,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,Não sei/não conheço,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Não sei,Concorda,Concorda,Não concorda,2
01/04/2016 00:12:55,Enzo Antonacci,17:21:00,II,27,Feminino,de R$ 1.760 a R$ 2.640,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não conhece,Não confia,Confia pouco,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Não conhece,Confia muito,Confia pouco,nada,muito,muito,Concordo totalmente,Não concordo,Não concordo,Concordo em parte,Concordo em parte,Concordo em parte,É grave,Não sei/não conheço,,É grave,É grave,Concorda,Não concorda,Concorda,Concorda,Não sei,Concorda,Não concorda,Não concorda,6
01/04/2016 00:18:03,Enzo Antonacci,17:29:00,II,58,Feminino,de R$ 1.760 a R$ 2.640,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não conhece,Confia pouco,Não confia,Confia muito,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,nada,nada,pouco,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,Não é grave,É grave,Concorda,Não concorda,Não sei,Concorda,Concorda,Concorda,Concorda,Concorda,7
01/04/2016 00:18:16,Rafaela Stephanelli,17:10:00,1,56,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Parda,veio espontaneamente,Muito satisfeito,Não confia,Confia muito,Confia muito,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,pouco,pouco,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,Não é grave,É grave,Concorda,Concorda,Concorda,Concorda,Não sei,Concorda,Concorda,Não concorda,3
01/04/2016 00:26:23,Enzo Antonacci,17:36:00,II,31,Feminino,"até R$ 1.760,00",ensino médio completo,Parda,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia muito,Confia muito,Confia muito,Não conhece,Não conhece,Não confia,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Não conhece,Confia muito,Não conhece,nada,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo em parte,Não é grave,Não sei/não conheço,É grave,É grave,É grave,Concorda,Concorda,Concorda,Concorda,Não sei,Concorda,Concorda,Concorda,8
01/04/2016 00:30:20,Enzo Antonacci,17:42:00,II,49,Feminino,de R$ 4.400 a R$ 8.800,ensino superior incompleto,Preta,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia muito,Confia muito,Confia muito,Não confia,Confia pouco,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,muito,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,Concorda,9
01/04/2016 00:31:19,Rafaela,17:20:00,1,20,Feminino,de R$ 2.640 a R$ 4.400,ensino superior incompleto,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não conhece,Confia pouco,Confia muito,Confia muito,Não conhece,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Confia muito,Não conhece,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Não conhece,nada,pouco,muito,Concordo em parte,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,É grave,Não sei/não conheço,É grave,É grave,É grave,Não concorda,Concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,4
01/04/2016 00:36:52,Rafaela,17:35:00,1,70,Masculino,acima de R$ 17.600,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia muito,Confia pouco,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,pouco,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,Não é grave,É grave,Concorda,Concorda,Concorda,Concorda,Não sei,Concorda,Concorda,Concorda,5
01/04/2016 00:36:31,Enzo Antonacci,17:49:00,II,31,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Preta,veio espontaneamente,Nada satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Confia muito,Confia muito,Confia pouco,Confia muito,Confia pouco,Confia pouco,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Confia pouco,Não confia,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,pouco,pouco,pouco,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,Não é grave,É grave,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,10
01/04/2016 00:42:45,Rafaela,17:40:00,1,20,Feminino,de R$ 2.640 a R$ 4.400,ensino superior incompleto,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Não confia,Confia muito,Confia muito,Não confia,Confia pouco,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,nada,nada,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,Não é grave,É grave,Concorda,Concorda,Concorda,Concorda,Não sei,Concorda,Concorda,Não sei,6
01/04/2016 00:50:26,Rafaela,17:47:00,1,22,Feminino,de R$ 8.800 a R$ 17.600,ensino superior incompleto,Preta,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não conhece,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não conhece,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Confia muito,Confia pouco,pouco,pouco,muito,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Não concorda,Concorda,Não concorda,Não concorda,7
01/04/2016 00:55:28,Rafaela,17:57:00,1,45,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Confia pouco,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia pouco,Não conhece,Confia muito,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Não conhece,Não confia,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia muito,Confia pouco,pouco,pouco,pouco,Concordo totalmente,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,Não concorda,Concorda,8
01/04/2016 00:57:25,Enzo Antonacci,17:58:00,II,32,Feminino,de R$ 8.800 a R$ 17.600,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia muito,Confia pouco,Não confia,Não confia,Não conhece,Confia muito,Confia pouco,Confia muito,Não confia,Não confia,Confia pouco,Confia pouco,Confia pouco,Não conhece,Não conhece,Confia pouco,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Não conhece,nada,nada,muito,Não sei,Concordo em parte,Não concordo,Não concordo,Concordo totalmente,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Não concorda,Não sei,Não concorda,Concorda,Concorda,Concorda,Não sei,Concorda,11
01/04/2016 01:00:08,Rafaela,18:08:00,1,28,Masculino,acima de R$ 17.600,ensino superior incompleto,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não conhece,Confia muito,Confia muito,Confia muito,Não confia,Confia pouco,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Não confia,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Não confia,pouco,nada,pouco,Não concordo,Concordo em parte,Não concordo,Não concordo,Concordo totalmente,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Não concorda,Concorda,Não sei,Não concorda,Concorda,Concorda,Não concorda,Não concorda,9
01/04/2016 01:08:50,Rafaela,18:15:00,1,35,Masculino,de R$ 4.400 a R$ 8.800,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Confia pouco,Confia pouco,Não confia,Confia muito,Confia pouco,Confia muito,Confia pouco,Confia muito,Confia pouco,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Não confia,Confia pouco,Confia muito,Confia pouco,nada,pouco,pouco,Concordo em parte,Concordo em parte,Não concordo,Não concordo,Concordo totalmente,Concordo em parte,É grave,Não é grave,É grave,É grave,É grave,Concorda,Não concorda,Concorda,Não sei,Concorda,Concorda,Não concorda,Não concorda,10
01/04/2016 01:14:34,Rafaela,18:21:00,1,23,,"até R$ 1.760,00",ensino superior incompleto,,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia muito,Confia pouco,Confia muito,Não conhece,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,pouco,pouco,muito,Concordo totalmente,Concordo em parte,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Concorda,Não concorda,Concorda,Não concorda,Concorda,11
01/04/2016 01:18:37,Rafaela,18:30:00,1,21,Feminino,de R$ 2.640 a R$ 4.400,ensino superior incompleto,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não conhece,Confia pouco,Confia pouco,Confia muito,Não conhece,Não conhece,Confia muito,Confia pouco,Confia pouco,Confia pouco,Não conhece,Confia pouco,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Não conhece,Confia muito,Não confia,nada,pouco,nada,Concordo em parte,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Concorda,Não concorda,Concorda,Não sei,Não sei,12
01/04/2016 01:21:55,Rafaela,18:38:00,1,19,Masculino,"até R$ 1.760,00",ensino superior incompleto,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia muito,Confia muito,Confia muito,Não confia,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Confia muito,Não confia,pouco,muito,muito,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,,É grave,Não concorda,Concorda,Concorda,Não concorda,Não concorda,Concorda,Concorda,Concorda,13
01/04/2016 01:25:34,Rafaela,18:45:00,1,29,Masculino,de R$ 2.640 a R$ 4.400,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia muito,Confia pouco,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Não confia,nada,nada,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,Não sei/não conheço,É grave,É grave,É grave,É grave,Concorda,Concorda,Não sei,Não concorda,Não concorda,Concorda,Concorda,Concorda,14
01/04/2016 01:29:14,Rafaela,19:00:00,1,22,Masculino,de R$ 8.800 a R$ 17.600,ensino superior incompleto,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia muito,Confia pouco,Confia muito,Não conhece,Confia muito,Confia muito,Confia muito,Confia muito,Não conhece,Não conhece,Não confia,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,nada,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,É grave,Não sei/não conheço,É grave,É grave,É grave,Concorda,Concorda,Não sei,Não concorda,Não concorda,Concorda,Concorda,Não concorda,15
01/04/2016 01:32:33,Rafaela,19:07:00,1,35,Masculino,"até R$ 1.760,00",ensino médio completo,Branca,veio atendendo convocação do sindicato ou movimento,Muito satisfeito,Não confia,Não confia,Confia muito,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não conhece,Confia pouco,Confia pouco,Confia muito,Confia muito,Confia muito,Não conhece,Confia pouco,Não confia,Confia pouco,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Confia muito,Não confia,muito,muito,muito,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo em parte,É grave,Não sei/não conheço,É grave,Não é grave,É grave,Não concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Não concorda,Não concorda,16
01/04/2016 01:35:53,Rafaela,19:16:00,1,59,Masculino,acima de R$ 17.600,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia muito,Confia pouco,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia muito,Não confia,pouco,muito,muito,Concordo em parte,Concordo em parte,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,Não é grave,É grave,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,17
01/04/2016 01:39:34,Rafaela,19:21:00,1,29,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não confia,Confia muito,Confia muito,Confia pouco,Confia muito,Não conhece,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,pouco,nada,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Não concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,18
01/04/2016 01:42:19,Rafaela,19:30:00,1,56,Masculino,de R$ 4.400 a R$ 8.800,ensino superior incompleto,Parda,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não conhece,Confia muito,Confia pouco,Confia pouco,Não confia,Não conhece,Confia pouco,Confia pouco,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,nada,nada,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,Não é grave,É grave,Não concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,19
01/04/2016 01:45:21,Rafaela,19:38:00,1,34,Masculino,de R$ 2.640 a R$ 4.400,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não conhece,Não conhece,Confia muito,Confia pouco,Confia pouco,Não conhece,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia muito,nada,nada,nada,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Não sei,Concorda,Não concorda,Não concorda,Não concorda,Não concorda,20
01/04/2016 01:48:29,Rafaela,19:46:00,1,36,Masculino,de R$ 8.800 a R$ 17.600,ensino superior completo,Parda,veio atendendo convocação do sindicato ou movimento,Pouco satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Não conhece,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Confia muito,Não confia,nada,muito,pouco,Concordo totalmente,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Não concorda,Concorda,Concorda,Não concorda,Concorda,Não concorda,Não concorda,21
01/04/2016 01:51:25,Rafaela,20:02:00,1,42,Masculino,de R$ 8.800 a R$ 17.600,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Não conhece,Confia muito,Confia muito,Não confia,Não conhece,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Confia pouco,Não confia,nada,nada,nada,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Não sei,Concorda,Não sei,Não sei,Não concorda,Concorda,Não sei,Não concorda,22
01/04/2016 01:54:31,Rafaela,20:10:00,1,59,Feminino,acima de R$ 17.600,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Não confia,Confia muito,Confia pouco,Confia muito,Não conhece,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Não confia,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia muito,Confia muito,Não confia,nada,muito,nada,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Não sei,Concorda,Concorda,Concorda,23
01/04/2016 01:57:50,Rafaela,20:16:00,1,19,Feminino,de R$ 1.760 a R$ 2.640,ensino superior incompleto,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Confia muito,Confia pouco,Confia pouco,Não conhece,Não confia,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Confia pouco,Confia pouco,pouco,pouco,muito,Concordo totalmente,Concordo em parte,Não concordo,Concordo em parte,Concordo em parte,Não concordo,É grave,É grave,É grave,É grave,É grave,Não concorda,Concorda,Concorda,Não concorda,Não concorda,Concorda,Não concorda,Concorda,24
01/04/2016 02:00:53,Rafaela,20:22:00,1,30,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Preta,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Confia muito,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Confia pouco,nada,nada,pouco,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Concorda,25
