"meta:instanceID","StartTime","Device","previos:entrevistador","previos:regiao","idade:idade","social:sexo","social:renda","social:escolaridade","social:cor","social:religiao","frases:frases1","frases:frases2","frases:frases3","frases:frases4","frases:frases5","frases:frases6","frases:frases7","frases:frases8","frases:frases9","frases:frases10","frases:frases11","frases:frases12","frases:frases13","frases:frases14","frases:frases15","frases:frases16","frases:frases17","frases:frases18","frases:frases19","frases:frases20","frases:frases21","informacoes:informacao1","informacoes:informacao2","informacoes:informacao3","informacoes:informacao4","informacoes:manifestacao1","informacoes:manifestacao2","informacoes:manifestacao3","informacoes:manifestacao4","informacoes:esquerda1","informacoes:esquerda2","informacoes:conservador"
"uuid:6f59d035-66b0-43be-a4f4-5810f14095a2","Sat Oct 22 16:20:15 UTC 2016","ac:d0:74:c9:d7:95","M beatriz","leste 3","51","Feminino","até R$ 1.760","fundamental incompleto","branca","evangélica pentecostal","concorda","não concorda","concorda","não concorda","concorda","não concorda","concorda","não concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","muito","muito","muito","muito","não","não","não","não","de direita",,"muito conservador(a)"
"uuid:cb3f104a-8e82-43b9-8287-6d644c1e4b4d","Sat Oct 22 16:27:16 UTC 2016","ac:d0:74:c9:d7:95","M beatriz","leste 3","47","Feminino","até R$ 1.760","fundamental incompleto","preta","umbanda","não concorda","concorda","não concorda","concorda","concorda","não sei","concorda","não sei","não concorda","não concorda","concorda","concorda","não concorda","não concorda","não concorda","concorda","concorda","não concorda","concorda","não sei","não sei","nada","nada","nada","nada","não","não","não","não","nada disso",,"um pouco conservador(a)"
"uuid:81e6cedd-bb9a-4724-b116-980b386653d3","Sat Oct 22 16:35:46 UTC 2016","ac:d0:74:c9:d7:95","M Beatriz","leste 3","33","Masculino","de R$ 1.760 a R$ 2.640","superior completo","branca","evangélica pentecostal","concorda","não concorda","concorda","não concorda","não concorda","não concorda","não sei","não concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","muito","muito","muito","muito","sim","sim","não","não","de direita",,"muito conservador(a)"
"uuid:5d8ba656-987f-45ed-8fa1-b366a15dd29f","Sat Oct 22 16:39:09 UTC 2016","ac:d0:74:c9:d7:95","M neatriz","leste 3","40","Feminino","de R$ 1.760 a R$ 2.640","médio completo","parda","espírita/kardecista","não concorda","concorda","não concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","não sei","concorda","concorda","não concorda","não sei","não concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","muito","pouco","pouco","pouco","não","não","não","não","nada disso",,"nada conservador(a)"
"uuid:6dfab821-f3f1-4925-a947-492c61d46afd","Sat Oct 22 17:02:49 UTC 2016","ac:d0:74:c9:d7:95","M Beatriz","leste 3","29","Masculino","de R$ 1.760 a R$ 2.640","médio completo","parda","nenhuma","concorda","não sei","concorda","não concorda","não sei","não concorda","concorda","não concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","não sei","não concorda","concorda","concorda","concorda","pouco","pouco","pouco","pouco","não","não","não","não","nada disso",,"um pouco conservador(a)"
"uuid:42732d23-36f5-4360-86d6-530bbac833b4","Sat Oct 22 17:12:01 UTC 2016","ac:d0:74:c9:d7:95","M beatdix","leste 3","32","Masculino","de R$ 2.640 a R$ 4.400","superior completo","branca","evangélica pentecostal","não concorda","não concorda","não concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","não concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","pouco","pouco","pouco","pouco","não","não","não","não","nada disso",,"um pouco conservador(a)"
"uuid:742b4391-91c7-4666-93b2-150726a6bf8b","Sat Oct 22 17:20:08 UTC 2016","ac:d0:74:c9:d7:95","M Beatriz","leste 3","56","Feminino","de R$ 2.640 a R$ 4.400","médio completo","preta","católica","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","não concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","não concorda","não concorda","pouco","pouco","nada","nada","não","não","não","não","nada disso",,"nada conservador(a)"
"uuid:e4da3f35-15bc-4250-8b9a-dff75d3e2cf8","Sat Oct 22 17:29:13 UTC 2016","ac:d0:74:c9:d7:95","M Beatriz","leste 3","30","Masculino","até R$ 1.760","fundamental incompleto","branca","evangélica pentecostal","concorda","não concorda","concorda","não concorda","concorda","não concorda","não sei","não concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","muito","muito","muito","muito","não","não","não","não","de direita",,"muito conservador(a)"
"uuid:84c6c01c-dddd-4891-8a11-ca4f42af4934","Sat Oct 22 17:35:56 UTC 2016","ac:d0:74:c9:d7:95","Mbeatriz","leste 3","68","Feminino","de R$ 2.640 a R$ 4.400","fundamental incompleto","preta","evangélica pentecostal","não concorda","concorda","concorda","concorda","concorda","não sei","concorda","não sei","não concorda","não sei","concorda","concorda","não concorda","não sei","não concorda","concorda","concorda","não concorda","concorda","não sei","não sei","pouco","pouco","pouco","pouco","não","não","não","não","nada disso",,"não sei"
"uuid:9772e352-bb54-4c79-bd9d-14e236378f3b","Sat Oct 22 17:40:21 UTC 2016","ac:d0:74:c9:d7:95","M beatriz","leste 3","26","Masculino","de R$ 2.640 a R$ 4.400","médio completo","parda","evangélica pentecostal","não concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","muito","pouco","nada","pouco","não","não","não","não","de centro","mais de direita","um pouco conservador(a)"
"uuid:330ef46e-9698-4cb1-9dc0-c8b4cf49f5d4","Sat Oct 22 17:46:32 UTC 2016","ac:d0:74:c9:d7:95","M beatriz","leste 3","42","Masculino","de R$ 2.640 a R$ 4.400","superior completo","parda","católica","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","não concorda","não concorda","concorda","não concorda","concorda","não concorda","não concorda","pouco","pouco","pouco","pouco","não","não","não","não","nada disso",,"nada conservador(a)"
