Timestamp,Entrevistador,Número do questionário,Horário,Região,1. Idade,2. Sexo,3. Renda familiar,4. Escolaridade,5. Cor,6. Você confia na imprensa?,7. Você confia nos partidos políticos?,Partidos: [8. PT],Partidos: [9. PSDB],Partidos: [10. PMDB],Partidos: [11. Rede],Partidos: [12. PSOL],Partidos: [13. PSTU],14. Você confia nas ONGS?,15. Você confia nos movimentos sociais?,Movimentos: [16. Movimento Brasil Livre],Movimentos: [17. Estudantes secundaristas],Movimentos: [18. MPL],Movimentos: [19. MST],Movimentos: [20. MTST],Movimentos: [21. Vem pra Rua],Movimentos: [22. Revoltados Online],23. Você confia nos políticos?,24. Você votou nas últimas eleições para Presidente?,25. Em quem votou?,26. Você é a favor do Impeachment da presidenta Dilma Rousseff?,27. Você foi em alguma manifestação a favor do Impeachment?,28. Você foi em alguma manifestação contrária ao Impeachment?,"29. Você foi em alguma manifestação pedindo o ""fora todos""?",30. Você se informa sobre política no Twitter?,31. Você se informa sobre política no Whatsapp?,32. Você se informa sobre política no Facebook?,33. Não há grande diferença entre governos de esquerda e de direita.,34. O PT é um partido corrupto.,"35. Conquistas do governo do PT como o Bolsa Família, o FIES e o Minha Casa, Minha Vida melhoraram a vida dos brasileiros",36. Os movimentos sociais deveriam ser independentes dos partidos políticos
5/20/2016 16:29:22,Felipe Cesar,20,6:53:00 AM,Secundarista,21,Masculino,"até R$ 1.760,00",ensino superior incompleto,indígena,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não confia,não confia,não confia,sim,Nulo,não,não,não,não,muito,muito,muito,não concordo,concordo totalmente,concordo em parte,não concordo
5/20/2016 16:31:01,fernando,7,6:24:00 PM,1,,,acima de R$ 17.600,ensino médio completo,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,confia muito,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não,Nenhum,não,não,sim,sim,nada,pouco,pouco,não concordo,concordo em parte,concordo em parte,concordo totalmente
5/20/2016 16:34:18,GILBERTO DA SILVA,15,6:26:00 PM,MASP,17,Masculino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,parda,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,confia muito,confia pouco,confia muito,confia muito,confia muito,confia pouco,não conhece,confia pouco,não confia,não,,não sei,sim,não,não,nada,pouco,muito,não concordo,concordo totalmente,concordo em parte,concordo em parte
5/20/2016 16:39:50,GILBERTO DA SILVA,16,6:38:00 PM,MASP,16,Masculino,"até R$ 1.760,00",ensino médio incompleto,parda,não confia,não confia,confia pouco,não confia,não confia,não conhece,confia pouco,não conhece,confia muito,confia muito,confia pouco,confia muito,confia muito,confia pouco,confia pouco,confia muito,confia pouco,não confia,não,,não,não,não,não,pouco,muito,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/20/2016 16:42:34,Renan,1,5:10:00 PM,2,17,Feminino,de R$ 4.400 a R$ 8.800,ensino médio incompleto,amarela,não confia,não confia,não confia,não confia,não confia,não conhece,não confia,confia pouco,confia muito,confia pouco,não conhece,não conhece,confia pouco,confia pouco,confia pouco,confia muito,não conhece,não confia,não,,não,não,não,não,nada,nada,pouco,não concordo,concordo em parte,concordo totalmente,concordo em parte
5/20/2016 16:46:08,Renan,2,5:16:00 PM,2,17,Feminino,de R$ 4.400 a R$ 8.800,ensino médio incompleto,parda,não confia,confia pouco,confia pouco,não confia,não conhece,não conhece,não conhece,não conhece,confia pouco,confia pouco,não conhece,confia muito,confia muito,confia pouco,não conhece,confia pouco,não confia,não confia,não,,não,não,não,não,muito,nada,nada,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/20/2016 16:46:30,Enzo Antonacci,1,4:50:00 PM,III,26,Masculino,de R$ 4.400 a R$ 8.800,ensino superior completo,branca,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,não confia,confia pouco,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia pouco,não conhece,não confia,confia pouco,sim,Eduardo Jorge,não,sim,sim,não,nada,pouco,muito,concordo em parte,concordo em parte,concordo em parte,concordo em parte
5/20/2016 16:49:45,Renan,3,5:25:00 PM,2,18,Masculino,"até R$ 1.760,00",ensino médio incompleto,preta,não confia,confia pouco,confia pouco,confia pouco,não confia,não conhece,confia pouco,confia pouco,confia muito,confia muito,não conhece,confia muito,confia muito,confia muito,confia muito,confia pouco,não confia,não confia,não,,sim,não,não,não,pouco,pouco,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/20/2016 16:49:48,Enzo Antonacci,2,4:55:00 PM,III,23,Masculino,de R$ 4.400 a R$ 8.800,ensino superior incompleto,branca,confia pouco,não confia,confia pouco,confia pouco,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,não confia,confia muito,confia pouco,confia pouco,confia pouco,não confia,não confia,confia pouco,sim,Luciana Genro,não sei,não,não,não,nada,pouco,pouco,concordo em parte,concordo totalmente,concordo totalmente,concordo em parte
5/20/2016 16:51:45,Enzo Antonacci,3,5:05:00 PM,III,27,Masculino,"até R$ 1.760,00",ensino superior incompleto,branca,confia pouco,confia pouco,confia pouco,não confia,não confia,confia pouco,confia muito,confia pouco,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia pouco,não confia,não confia,sim,Dilma,não,não,sim,não,nada,pouco,muito,não concordo,não concordo,concordo totalmente,concordo totalmente
5/20/2016 16:51:50,Maria Rita,1,,1,18,Masculino,"até R$ 1.760,00",ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,,confia pouco,confia pouco,não confia,confia pouco,não conhece,não confia,não confia,sim,Eduardo Jorge,sim,não,não,não,pouco,muito,muito,concordo em parte,concordo totalmente,concordo em parte,concordo totalmente
5/20/2016 16:53:09,Renan,4,5:30:00 PM,2,16,Masculino,"até R$ 1.760,00",ensino médio incompleto,branca,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia muito,confia muito,confia muito,não conhece,não conhece,não confia,não,,não,não,não,não,nada,nada,nada,concordo em parte,não concordo,concordo totalmente,concordo totalmente
5/20/2016 16:53:16,Maria Rita,2,,1,18,Masculino,"até R$ 1.760,00",ensino médio incompleto,preta,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,não conhece,não conhece,não confia,não,,não,não,não,não,pouco,nada,pouco,concordo em parte,concordo totalmente,concordo totalmente,concordo totalmente
5/20/2016 16:53:50,Enzo Antonacci,4,5:15:00 PM,III,16,Masculino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,branca,não confia,não confia,confia pouco,não confia,não confia,não conhece,confia pouco,confia muito,confia pouco,confia muito,não conhece,confia muito,confia muito,confia muito,não conhece,confia muito,não conhece,não confia,não,,não,não,não,não,muito,nada,nada,concordo em parte,concordo em parte,concordo totalmente,concordo totalmente
5/20/2016 16:54:50,Maria Rita,3,,1,20,Masculino,,ensino médio incompleto,preta,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não confia,confia muito,não confia,confia muito,confia pouco,confia pouco,confia pouco,,não confia,não confia,sim,Dilma,não,não,sim,não,pouco,muito,muito,não concordo,concordo em parte,concordo totalmente,não concordo
5/20/2016 16:55:53,Enzo Antonacci,5,5:25:00 PM,III,17,Masculino,de R$ 1.760 a R$ 2.640,ensino médio incompleto,preta,não confia,confia pouco,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia muito,não conhece,confia muito,confia muito,confia pouco,não conhece,não conhece,não conhece,não confia,não,,não,não,sim,sim,nada,pouco,muito,não concordo,concordo totalmente,concordo totalmente,concordo totalmente
5/20/2016 16:56:08,Renan,5,5:40:00 PM,2,18,Masculino,"até R$ 1.760,00",ensino médio incompleto,preta,confia pouco,confia pouco,confia pouco,não confia,não confia,não conhece,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,não,,não,não,não,não,nada,pouco,pouco,concordo em parte,concordo totalmente,concordo totalmente,concordo totalmente
