"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera feminista?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Para concluir o bloco gostaria de fazer duas perguntas:";"A cassação da chapa Dilma/Temer está sendo discutida no Tribunal Superior Eleitoral e se aprovada Michel Temer perde o mandato. Você é a favor da cassação da chapa pelo TSE?";"Se Lula for candidato você pretende votar nele nas próximas eleições?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Religião:";"outra:";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2017-03-31T18:10:20.648-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"49";"Nenhum";"de esquerda";"";"pouco conservador";"pouco feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163681";"e74298e5-d24d-447a-b617-9afc88c10f2d";"2017-03-31T22:18:15";"106"
"2017-03-31T17:56:33.343-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"33";"Nenhum";"de esquerda";"";"muito conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino médio completo";"preta";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163678";"a89f3fdd-798f-4691-8f7d-15846c9c0656";"2017-03-31T22:18:12";"107"
"2017-03-31T18:01:14.075-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"43";"Nenhum";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"preta";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163679";"7a3c53bf-6835-4a1d-a3c7-94e0d65be9d6";"2017-03-31T22:18:13";"108"
"2017-03-31T17:45:33.479-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"34";"Nenhum";"nada disso";"";"pouco conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"preta";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163676";"d02c7bfe-cf11-4e41-bd5b-bc54e61a641b";"2017-03-31T22:18:11";"109"
"2017-03-31T17:50:43.468-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"23";"Nenhum";"centro";"mais de direita";"pouco conservador";"nada feminista";"pouco antipetista";"";"não concorda";"não sei";"não concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"não sei";"concorda";"concorda";"não concorda";"concorda";"não sei";"concorda";"";"não";"não";"";"feminino";"de R$1880,00 até R$2810,00";"ensino superior incompleto";"branca";"";"outra";"Adventista";"vQEVL8NJxFQs3kcu22s4A4";"3163677";"838449a5-75df-4a57-9a31-ee5fbbd836fa";"2017-03-31T22:18:12";"110"
"2017-03-31T17:29:16.456-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"56";"PT";"de esquerda";"";"muito conservador";"não sei";"nada antipetista";"";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"";"sim";"sim";"";"feminino";"até R$1880,00";"ensino fundamental incompleto";"branca";"";"evangélica pentecostal";"";"vQEVL8NJxFQs3kcu22s4A4";"3163674";"aa7cf414-bc0a-4df6-a7bd-1ab2e9656d17";"2017-03-31T22:18:10";"111"
"2017-03-31T17:39:20.015-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"32";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163675";"acd49f64-4f05-4f44-aa65-e9f9af10801d";"2017-03-31T22:18:11";"112"
"2017-03-31T17:17:54.392-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"27";"Nenhum";"de esquerda";"";"nada conservador";"não sei";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"não";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163672";"2111c369-8b78-4351-8a04-c760731b09f9";"2017-03-31T22:18:09";"113"
"2017-03-31T17:22:58.473-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"68";"Nenhum";"de esquerda";"";"pouco conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163673";"ae457ba3-d7ee-493b-860a-3d2152e2a583";"2017-03-31T22:18:10";"114"
"2017-03-31T17:06:50.929-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"21";"PSOL";"de esquerda";"";"nada conservador";"não sei";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior incompleto";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163670";"330f8e2c-b181-4453-9595-f66d3aff0ab2";"2017-03-31T22:18:08";"115"
"2017-03-31T17:11:37.326-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"28";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"não sei";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163671";"74d0bd5d-5e0c-4daf-8dda-fb0608d8f196";"2017-03-31T22:18:08";"116"
"2017-03-31T16:56:51.558-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"20";"Nenhum";"de esquerda";"";"nada conservador";"nada feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163668";"ca4b1d2e-e32a-4cb6-aa93-59de051f6748";"2017-03-31T22:18:07";"117"
"2017-03-31T17:02:15.293-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"31";"Nenhum";"de esquerda";"";"pouco conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"";"sim";"sim";"";"masculino";"de R$1880,00 até R$2810,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163669";"f8cba35a-ba2b-41d2-9709-9e62d3d5a55d";"2017-03-31T22:18:07";"118"
"2017-03-31T16:44:11.194-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"33";"Nenhum";"nada disso";"";"não sei";"pouco feminista";"pouco antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"até R$1880,00";"ensino superior incompleto";"branca";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3163666";"e860c94d-2185-466f-8ad7-57a1a16ef73b";"2017-03-31T22:18:06";"119"
"2017-03-31T16:51:38.588-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"25";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"";"sim";"sim";"";"feminino";"até R$1880,00";"ensino superior incompleto";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163667";"9509a3dc-523f-45c7-9482-847a054092da";"2017-03-31T22:18:06";"120"
"2017-03-31T16:33:19.459-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"51";"PT";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"feminino";"de R$1880,00 até R$2810,00";"ensino superior incompleto";"parda";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163664";"3da2812e-ba7d-4399-8eb0-4842454bd07a";"2017-03-31T22:18:05";"121"
"2017-03-31T16:39:20.644-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"21";"Nenhum";"nada disso";"";"muito conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"sim";"não";"";"feminino";"até R$1880,00";"ensino superior incompleto";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163665";"f078c43d-1d2f-4421-bf3f-ab2eacc5a3a0";"2017-03-31T22:18:05";"122"
"2017-03-31T16:18:27.178-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"37";"PSOL";"nada disso";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163662";"0da8d1b8-b04f-4ad9-95e1-f9af79eaae8a";"2017-03-31T22:18:03";"123"
"2017-03-31T16:23:52.980-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"63";"PSOL";"de esquerda";"";"muito conservador";"pouco feminista";"nada antipetista";"";"não sei";"não concorda";"não concorda";"não concorda";"não concorda";"não sei";"concorda";"não sei";"concorda";"não concorda";"concorda";"não sei";"não concorda";"não concorda";"não concorda";"não sei";"não sei";"concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"não concorda";"";"não sei";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163663";"8ae60c91-a75e-49e6-95e9-247adcc70dcd";"2017-03-31T22:18:04";"124"
"2017-03-31T17:54:26.188-03";"ac:d0:74:8d:47:d3";"Camila";"W";"";"49";"Nenhum";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"até R$1880,00";"ensino superior completo";"preta";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163703";"b356ccf6-c51e-45d0-8fb1-c8b6f5c0ef85";"2017-03-31T22:19:52";"125"
"2017-03-31T18:07:35.248-03";"ac:d0:74:8d:47:d3";"Camila";"Q";"";"30";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163704";"253fb162-7792-432d-b0f9-140e188f5425";"2017-03-31T22:19:53";"126"
"2017-03-31T17:28:14.648-03";"ac:d0:74:8d:47:d3";"Camila";"Q";"";"17";"Nenhum";"de esquerda";"";"nada conservador";"nada feminista";"pouco antipetista";"";"não sei";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"";"sim";"sim";"";"feminino";"até R$1880,00";"ensino médio incompleto";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163701";"673624cb-8db4-4ee0-bbc3-ccf934b899b6";"2017-03-31T22:19:51";"127"
"2017-03-31T17:43:47.830-03";"ac:d0:74:8d:47:d3";"Camilq";"Q";"";"55";"PT";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"sim";"sim";"";"masculino";"até R$1880,00";"ensino médio completo";"parda";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163702";"ab3f56d8-fa39-49e0-93ca-d3c9a3f49fe9";"2017-03-31T22:19:52";"128"
"2017-03-31T18:00:14.982-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"52";"PT";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino médio completo";"branca";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3163566";"67d47b5e-1229-4cc2-85dc-99be5b84ee24";"2017-03-31T22:08:21";"129"
"2017-03-31T17:50:57.033-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"55";"Nenhum";"nada disso";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163565";"81f11d00-98d7-491e-bec9-f74268d54f22";"2017-03-31T22:08:20";"130"
"2017-03-31T17:43:05.672-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"50";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"";"sim";"sim";"";"masculino";"de R$9370,00 até R$18740,00";"ensino médio completo";"parda";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163564";"875a5cc1-d0a2-4490-9ea8-c318be3e92b4";"2017-03-31T22:08:20";"131"
"2017-03-31T17:34:48.719-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"45";"Outro";"de direita";"";"pouco conservador";"nada feminista";"pouco antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"sim";"não";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior completo";"parda";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163563";"dd98c3f1-63a7-4ca0-8071-f4984a5b0f2c";"2017-03-31T22:08:20";"132"
"2017-03-31T17:28:31.601-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"65";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"parda";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3163562";"00845853-5857-48bb-9498-2ef01e4c700f";"2017-03-31T22:08:19";"133"
"2017-03-31T17:13:58.075-03";"ac:d0:74:8d:47:d3";"Camila";"Q";"";"60";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163699";"1819b9a0-cbb9-4c7d-9040-4610a2cf8fb0";"2017-03-31T22:19:50";"134"
"2017-03-31T17:19:53.035-03";"ac:d0:74:8d:47:d3";"Camila";"Q";"";"52";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"feminino";"mais de R$18740,00";"ensino superior completo";"outra";"Não existe";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163700";"adcdba4e-e1e7-44c0-ad1b-a60e61ef8e94";"2017-03-31T22:19:51";"135"
"2017-03-31T17:22:06.918-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"26";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163561";"0477467c-36fb-4319-b62c-9a21c9ec0464";"2017-03-31T22:08:19";"136"
"2017-03-31T17:13:06.857-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"61";"PT";"de esquerda";"";"muito conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163560";"a7b0e3fb-152a-4038-8694-7830c227626b";"2017-03-31T22:08:18";"137"
"2017-03-31T17:05:57.731-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"51";"PT";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163559";"b0110417-0335-4201-b679-b66bb4f13136";"2017-03-31T22:08:18";"138"
"2017-03-31T17:00:14.289-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"21";"Nenhum";"centro";"mais de squerda";"nada conservador";"pouco feminista";"pouco antipetista";"";"concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior incompleto";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163558";"b5e29150-fe37-4764-a7dc-e021573babfb";"2017-03-31T22:08:17";"139"
"2017-03-31T16:53:16.689-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"38";"Nenhum";"de esquerda";"";"nada conservador";"não sei";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"não concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"não sei";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"de R$1880,00 até R$2810,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163556";"63725855-aa62-4c13-b64a-7e68248f275e";"2017-03-31T22:08:16";"140"
"2017-03-31T16:47:18.685-03";"ac:d0:74:8c:b4:ec";"Marcelo";"1";"";"46";"Nenhum";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163555";"61e720d4-c2a7-4065-977f-83de77ff588b";"2017-03-31T22:08:16";"141"
