"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera feminista?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Para concluir o bloco gostaria de fazer duas perguntas:";"A cassação da chapa Dilma/Temer está sendo discutida no Tribunal Superior Eleitoral e se aprovada Michel Temer perde o mandato. Você é a favor da cassação da chapa pelo TSE?";"Se Lula for candidato você pretende votar nele nas próximas eleições?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Religião:";"outra:";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2017-03-31T17:19:47.081-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"25";"Outro";"de esquerda";"";"nada conservador";"muito feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"amarela";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163820";"35dfd8ce-b9a2-4f02-a25d-ceab54a18621";"2017-03-31T22:35:14";"11"
"2017-03-31T17:27:05.807-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"61";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"";"sim";"sim";"";"masculino";"de R$1880,00 até R$2810,00";"ensino superior completo";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163821";"5e6408b7-a4ff-4ddb-8832-a7de52168bbe";"2017-03-31T22:35:15";"12"
"2017-03-31T17:06:31.871-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"56";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não";"sim";"";"masculino";"de R$9370,00 até R$18740,00";"ensino médio completo";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163818";"670b0315-696f-4951-a04a-414bda2ca3f4";"2017-03-31T22:35:13";"13"
"2017-03-31T17:13:20.467-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"58";"PT";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"";"sim";"sim";"";"masculino";"de R$2810,00 até R$4690,00";"ensino médio completo";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163819";"5c5a04da-9f5e-44de-b34b-71a964843f7a";"2017-03-31T22:35:13";"14"
"2017-03-31T16:53:31.933-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"48";"PSOL";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"não";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"preta";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163816";"994b6c7a-df3c-4971-855a-4c7788c73079";"2017-03-31T22:35:11";"15"
"2017-03-31T17:01:53.053-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"33";"PCdoB";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163817";"a967da75-0f70-42b4-ad1d-e17c17c0333c";"2017-03-31T22:35:12";"16"
"2017-03-31T18:49:24.229-03";"ac:d0:74:c4:b2:21";"Leticia";"1";"";"22";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"";"sim";"não sei";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163594";"636dd8ca-2c3c-4814-8b71-b33d3e104ec4";"2017-03-31T22:11:02";"17"
"2017-03-31T18:23:32.965-03";"ac:d0:74:78:6f:7c";"Vitor";"2";"";"59";"PT";"de esquerda";"";"pouco conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não sei";"concorda";"";"não";"sim";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3163653";"db4a16a1-0e5d-4e2b-86ed-68559da6fcd3";"2017-03-31T22:15:20";"18"
"2017-03-31T18:19:26.250-03";"ac:d0:74:78:6f:7c";"Vitor";"2";"";"53";"PT";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"sim";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"outra";"Cristã";"vQEVL8NJxFQs3kcu22s4A4";"3163651";"aba2fed9-6ed8-4cee-86f3-b57e35ef91ff";"2017-03-31T22:15:20";"19"
"2017-03-31T18:10:38.454-03";"ac:d0:74:78:6f:7c";"Vitor";"2";"";"34";"Nenhum";"centro";"mais de squerda";"pouco conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não sei";"não sei";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não sei";"não concorda";"";"sim";"não";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163650";"b9640863-6c0e-4b55-aa4d-7fd5fdcb0a56";"2017-03-31T22:15:19";"20"
"2017-03-31T16:58:56.401-03";"ac:d0:74:8d:47:d3";"Camila";"Q";"";"31";"Nenhum";"de esquerda";"";"não sei";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não sei";"não sei";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior completo";"preta";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163697";"f648c41d-920c-439f-8d5b-cc385180bff5";"2017-03-31T22:19:49";"21"
"2017-03-31T17:07:30.319-03";"ac:d0:74:8d:47:d3";"Camila";"W";"";"24";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"feminino";"até R$1880,00";"ensino superior incompleto";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163698";"f519de26-9a55-4a09-b110-13077c2524c8";"2017-03-31T22:19:50";"22"
"2017-03-31T16:43:31.318-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"30";"PSOL";"de esquerda";"";"não sei";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163814";"ce61b433-531b-420e-8404-01319a51d165";"2017-03-31T22:35:10";"23"
"2017-03-31T16:48:46.983-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"26";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não concorda";"não sei";"";"não sei";"sim";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163815";"2f0dd5b4-639f-4feb-85bb-326879a3d5ac";"2017-03-31T22:35:11";"24"
"2017-03-31T16:29:51.694-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"28";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não sei";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163812";"cbb3ce79-4150-49db-9606-fc7217b29db8";"2017-03-31T22:35:09";"25"
"2017-03-31T16:38:01.469-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"49";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"não";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"preta";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3163813";"24c5b30f-c107-47a4-a999-ce64ab4f0716";"2017-03-31T22:35:10";"26"
