"start";"end";"Olá, estamos fazendo uma pesquisa acadêmica para conhecer os participantes da marcha. Você poderia responder umas perguntas? Não vai levar mais do que 5 minutos e você não precisa nos dizer o seu nome. ";"Qual é sua idade?";"Quais dos seguintes aspectos foram mais marcantes no assassinato de Marielle Franco? ";"Ela ser uma mulher negra:";"Ela ser uma vereadora eleita: ";"Ela ser uma representante da favela:";"Ela ser uma política íntegra:";"Ela ser defensora de direitos humanos:";"Você é a favor da intervenção do governo federal na segurança pública no Rio de Janeiro?";"Você acha que o exército deve auxiliar a polícia no combate ao crime nas grandes cidades?";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/junho de 2013";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/pedindo o impeachment da ex-presidente Dilma Rousseff";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/contrária ao impeachment da ex-presidente Dilma Rousseff";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/parada LGBT (parada Gay)";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/marcha da maconha";"Em quais desses veículos de notícia e opinião você confia? (as respostas são: "confia", "não confia" e "não sei")";"Jornal Folha de São Paulo";"Revista Veja";"Portal UOL";"Site Brasil 247";"Site Noticias Brasil Online";"Site Diário do Centro do Mundo";"Site O Diário Nacional";"Agora, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica mais?";"Outro:";"Algumas perguntas agora sobre como você se define.";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador(a)?";"Você se considera feminista?";"Você se considera antipetista?";"Para terminar, queria agora saber um pouco de você.";"Sexo:";"Outro:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"Outra:";"E qual é a sua religião? ";"Outra:";"Muito obrigado pelas respostas!";"_id";"_uuid";"_submission_time";"_index"
"2018-03-18T17:05:51.327-03";"2018-03-18T17:09:40.155-03";"";"32";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay) marcha da maconha";"1";"0";"1";"1";"1";"";"não confia";"não confia";"não confia";"confia";"não sei";"confia";"não sei";"PSOL";"";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 4.770 a R$ 9.540";"ensino superior completo";"branca";"";"outra";"Candomblé";"";"9218298";"2a6eccf8-ed1e-44ed-a68b-25fbeab57e1b";"2018-03-18T21:43:47";"11"
"2018-03-18T17:22:58.675-03";"2018-03-18T17:27:51.914-03";"";"29";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"parada LGBT (parada Gay)";"0";"0";"0";"1";"0";"";"não confia";"não confia";"confia";"não sei";"não sei";"confia";"não sei";"PSOL";"";"";"de esquerda";"";"pouco conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 4.770 a R$ 9.540";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218299";"ecea0293-a828-4dd8-9659-cb69ed6ebe6d";"2018-03-18T21:43:48";"12"
"2018-03-18T17:31:20.220-03";"2018-03-18T17:36:40.812-03";"";"58";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"não sei";"não confia";"não sei";"confia";"não sei";"confia";"confia";"PSOL";"";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"acima de R$ 19.080";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218300";"308cf3e6-a3d7-4dfa-833e-e2d4f1fee375";"2018-03-18T21:43:49";"13"
"2018-03-18T17:49:27.972-03";"2018-03-18T17:55:20.825-03";"";"37";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não sei";"junho de 2013 parada LGBT (parada Gay)";"1";"0";"0";"1";"0";"";"não sei";"não sei";"não sei";"não sei";"não sei";"não sei";"não sei";"nenhum";"";"";"nada disso";"";"pouco conservador";"muito feminista";"pouco antipetista";"";"feminino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"branca";"";"outra";"";"";"9218301";"a2aa9c2b-cdd5-4f78-9a6a-06c187ac1858";"2018-03-18T21:43:50";"14"
"2018-03-18T17:55:23.955-03";"2018-03-18T18:01:28.507-03";"";"18";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"parada LGBT (parada Gay)";"0";"0";"0";"1";"0";"";"não sei";"não confia";"não sei";"não sei";"não sei";"não sei";"não sei";"PSOL";"";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"acima de R$ 19.080";"ensino superior incompleto";"preta";"";"outra";"Agnóstico";"";"9218302";"61f14f3a-2bf3-4f1a-a215-e1b78dbf6e24";"2018-03-18T21:43:50";"15"
"2018-03-18T18:03:21.958-03";"2018-03-18T18:09:58.581-03";"";"18";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff";"1";"0";"1";"0";"0";"";"confia";"não confia";"confia";"não sei";"não confia";"não confia";"confia";"PSOL";"";"";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"masculino";"";"de R$ 4.770 a R$ 9.540";"ensino médio completo";"branca";"";"judaica";"";"";"9218304";"b86446bc-fb11-4101-8b4d-2624bd8b9640";"2018-03-18T21:43:51";"16"
"2018-03-18T14:56:13.278-03";"2018-03-18T15:10:36.965-03";"";"56";"";"muito marcante";"muito marcante";"muito marcante";"não muito marcante";"muito marcante";"não";"não";"junho de 2013 parada LGBT (parada Gay)";"1";"0";"0";"1";"0";"";"não confia";"não confia";"não confia";"não confia";"não sei";"não sei";"não sei";"outro";"Pstu";"";"de esquerda";"mais de esquerda";"nada conservador";"muito feminista";"muito antipetista";"";"masculino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218309";"6168b807-9edd-4d3d-a5b7-7d3496e7ecfb";"2018-03-18T21:45:44";"17"
"2018-03-18T15:06:11.831-03";"2018-03-18T15:10:12.547-03";"";"41";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"não confia";"não confia";"não confia";"não sei";"não sei";"não sei";"não confia";"PSOL";"";"";"de esquerda";"mais de esquerda";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"até R$ 1.908";"ensino médio completo";"branca";"";"espírita/ kardecista";"";"";"9218310";"9b255fdb-bf70-402d-9e39-5cfbff6bf6ca";"2018-03-18T21:45:45";"18"
"2018-03-18T15:10:45.913-03";"2018-03-18T15:16:16.339-03";"";"30";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay) marcha da maconha";"1";"0";"1";"1";"1";"";"não confia";"não confia";"não confia";"não confia";"não sei";"não sei";"não sei";"PSOL";"";"";"de esquerda";"mais de esquerda";"nada conservador";"muito feminista";"pouco antipetista";"";"feminino";"";"de R$ 2.862 a R$ 4.770";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218311";"97a86eef-555e-44d1-9e41-b7bec21e4f0d";"2018-03-18T21:45:46";"19"
"2018-03-18T15:25:35.017-03";"2018-03-18T15:27:51.628-03";"";"38";"";"muito marcante";"muito marcante";"muito marcante";"um pouco marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"não confia";"não confia";"não confia";"não confia";"não confia";"confia";"não confia";"PT";"";"";"de esquerda";"mais de esquerda";"nada conservador";"muito feminista";"nada antipetista";"";"masculino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"branca";"";"islâmica";"";"";"9218312";"f73296f3-d66e-4395-abdd-5a6830545411";"2018-03-18T21:45:46";"20"
