"","Entrevistador","Horário","Região","Idade","Sexo","Renda","Escolaridade","Cor","Especificar","Sistema.Político","Político.Honesto","Fora.do.Jogo","Militares","Juiz.Honesto","Plebiscitos","Movimentos.Sociais","Lava.Jato","Zelotes","Metrô","Mensalão.PT","Mensalão.PSDB","Dilma","Alckmin","Haddad","Aécio","Cunha","Calheiros","Figura.Honesta","Impostos","Falta.Recursos","Corrupção","Má.administração","Financiamento.Empresarial","Saúde.todos","Saúde.gratuita","Mais.Médicos","Educação.todos","Educação.gratuita","Transporte.todos","Transporte.gratuito","Reduzir.impostos","Red.imp.alguns","Esforço","Punição","Maconha","Haitianos","Estupros","Gays","Negros","Joaquim.Levy","Crise.hídrica","Partido","Prefeitura"
"95","Flávio Américo Tonnetti","15:26","3",34,"Masculino","acima de R$ 15.760","superior completo","branca",NA,"3- não satisfeito","2- concordo em parte","1- concordo totalmente","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","1- grave","2- não grave","1- grave","1- grave","1- grave","1- sim","2- não","1- sim","3- não sei","3- não sei","1- sim","Geraldo Alckmin","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","2- não","1- concordo totalmente","2- concordo em parte","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","2- não","1- muita","ambos","nenhum"
"96","Flávio Américo Tonnetti","15:01","3",55,"Feminino","acima de R$ 15.760","superior completo","amarela",NA,"3- não satisfeito","2- concordo em parte","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","1- grave","3- não sei","2- não grave","1- grave","2- não grave","1- sim","2- não","1- sim","2- não","1- sim","1- sim","FHC","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","2- concordo em parte","2- concordo em parte","2- não","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","2- não","2- pouca","todos","nenhum"
"97","Flávio Américo Tonnetti","15:16","3",55,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","3- não concordo","2- concordo em parte","3- não concordo","2- concordo em parte","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","2- não","3- não sei","3- não sei","1- sim","1- sim","Geraldo Alckmin","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","2- concordo em parte","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","2- não","1- muita","nenhum","Datena"
"98","Flávio Américo Tonnetti","14:50","3",78,"Masculino","acima de R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- grave","1- grave","1- grave","1- grave","3- não sei","1- sim","2- não","1- sim","2- não","3- não sei","1- sim","Miguel Reale Jr","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não sei","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","3- não concordo","2- concordo em parte","3- não concordo","1- concordo totalmente","2- concordo em parte","2- não","1- muita","outros","João Doria"
"99","Flávio Américo Tonnetti","14:42","3",32,"Masculino","de R$ 1.576 a R$ 2.364","superior completo","preta",NA,"3- não satisfeito","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","2- não","1- sim","2- não","1- sim","1- sim","Jair Bolsonaro","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- sim","2- concordo em parte","2- concordo em parte","2- não","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","2- não","1- muita","nenhum","nenhum"
"100","Flávio Américo Tonnetti","14:33","3",29,"Masculino","acima de R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","1- sim","3- não sei","1- sim","3- não sei","1- sim","","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","2- concordo em parte","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","2- concordo em parte","2- não","1- muita","2- PSDB","nenhum"
"101","Flávio Américo Tonnetti","14:18","3",50,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","4- não sei","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","3- não sei","1- muita","ambos","Datena"
"102","Flávio Américo Tonnetti","14:18","3",63,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","1- concordo totalmente","2- concordo em parte","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","3- não sei","1- muita","2- PSDB","nenhum"
"103","Flávio Américo Tonnetti","14:10","3",68,"Masculino","acima de R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","2- concordo em parte","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","2- não","1- sim","2- não","2- não","1- sim","Itamar Franco","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- não","1- muita","nenhum","nenhum"
"104","Flávio Américo Tonnetti","14:00","3",58,"Masculino","acima de R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","3- não sei","3- não sei","2- não","1- sim","1- sim","","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- sim","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- concordo em parte","2- concordo em parte","2- concordo em parte","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","2- não","1- muita","3- Outros","nenhum"
