"","Entrevistador","Horário","Região","Idade","Sexo","Renda","Escolaridade","Cor","Especificar","Sistema.Político","Político.Honesto","Fora.do.Jogo","Militares","Juiz.Honesto","Plebiscitos","Movimentos.Sociais","Lava.Jato","Zelotes","Metrô","Mensalão.PT","Mensalão.PSDB","Dilma","Alckmin","Haddad","Aécio","Cunha","Calheiros","Figura.Honesta","Impostos","Falta.Recursos","Corrupção","Má.administração","Financiamento.Empresarial","Saúde.todos","Saúde.gratuita","Mais.Médicos","Educação.todos","Educação.gratuita","Transporte.todos","Transporte.gratuito","Reduzir.impostos","Red.imp.alguns","Esforço","Punição","Maconha","Haitianos","Estupros","Gays","Negros","Joaquim.Levy","Crise.hídrica","Partido","Prefeitura"
"1","Amanda B.","13h","II",45,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","branca","","3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- grave","2- não grave","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","não conhece","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","2- não","1- muita","PT e PSDB","nenhum"
"2","Amanda B.","13h13","II",26,"Feminino","de R$ 7.880 a R$ 15.760","superior incompleto","branca","","3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","1- grave","3- não sei","3- não sei","1- grave","1- grave","1- sim","1- sim","1- sim","2- não","2- não","1- sim","Joaquim Barbosa","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","3- não sei","1- muita","1- PT","nenhum"
"3","Amanda B.","13h25","II",62,"Masculino","de R$ 3.940 a R$ 7.880","médio completo","parda","","3- não satisfeito","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","Joaquim Barbosa","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não","1- concordo totalmente","2- concordo em parte","3- não","2- concordo totalmente","3- não concordo","2- concordo em parte","3- não concordo","2- concordo totalmente","2- concordo totalmente","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","4- não concordo","2- concordo em parte","1- concordo totalmente","3- não sei","1- muita","PT e PSDB","nenhum"
"4","Amanda B.","13h47","II",53,"Masculino","de R$ 7.880 a R$ 15.760","superior completo","parda","","4- não satisfeito","2- concordo em parte","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- grave","4- não sei","2- grave","2- grave","2- grave","3- não sei","3- não sei","3- não sei","3- não sei","3- não sei","1- sim","Silvio Luiz","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","2- concordo totalmente","1- concordo totalmente","4- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","3- não concordo","5- não concordo","3- não concordo","1- concordo totalmente","3- não sei","2- muita","PT e PSDB","João Doria"
"5","Amanda B.","14h","II",61,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","branca","","5- não satisfeito","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","3- não concordo","3- grave","1- grave","1- grave","3- grave","3- grave","1- sim","2- não","1- sim","2- não","1- sim","1- sim","Alckimin","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não","3- concordo totalmente","2- concordo em parte","5- não","2- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","6- não concordo","3- não concordo","1- concordo totalmente","2- não","2- pouca","sem resposta","nenhum"
"6","Amanda B.","14h10","II",40,"Feminino","de R$ 2.364 a R$ 3.940","superior incompleto","preta","","6- não satisfeito","2- concordo em parte","3- não concordo","3- não concordo","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","4- grave","3- não sei","1- grave","4- grave","4- grave","2- sim","1- sim","2- sim","1- sim","1- sim","1- sim","não conhece","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","4- não","4- concordo totalmente","1- concordo totalmente","1- sim","3- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","7- não concordo","4- não concordo","3- não concordo","3- não sei","1- muita","1- PT","nenhum"
"7","Amanda B.","14h30","II",36,"Masculino","de R$ 3.940 a R$ 7.880","médio completo","branca","","7- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","3- não concordo","5- grave","4- não sei","3- não sei","5- grave","5- grave","3- sim","2- não","3- sim","3- não sei","3- não sei","1- sim","Jair Bolsonaro","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","1- sim","2- concordo em parte","3- não concordo","7- não","3- não concordo","2- concordo em parte","3- não concordo","4- não concordo","2- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","2- concordo em parte","8- não concordo","5- não concordo","1- concordo totalmente","2- não","1- muita","2- PSDB","nenhum"
"8","Amanda B.","14h43","II",16,"Feminino","de R$ 1.576 a R$ 2.364","médio incompleto","branca","","8- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","6- grave","3- não sei","1- grave","6- grave","6- grave","4- sim","2- não","4- sim","2- não","1- sim","1- sim","Aécio Neves","2- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","6- não","6- concordo totalmente","1- concordo totalmente","8- não","5- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","9- não concordo","6- não concordo","1- concordo totalmente","3- não sei","2- pouca","2- PSDB","nenhum"
"9","Amanda B.","14h57","II",55,"Feminino","acima de R$ 15.760","superior completo","branca","","9- não satisfeito","3- não concordo","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","2- concordo em parte","7- grave","1- grave","1- grave","7- grave","7- grave","3- não sei","3- não sei","3- não sei","3- não sei","1- sim","1- sim","Fernando Gabeira","3- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","7- não","7- concordo totalmente","2- concordo em parte","1- sim","6- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","4- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","10- não concordo","7- não concordo","2- concordo em parte","3- não sei","1- muita","2- PSDB","nenhum"
"10","Amanda B.","15h08","II",48,"Feminino","de R$ 3.940 a R$ 7.880","superior completo","indígena","diz que tem avó indígena","10- não satisfeito","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","8- grave","1- grave","3- não sei","8- grave","3- não sei","6- sim","2- não","6- sim","3- não sei","3- não sei","1- sim","Juiz Moro","4- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não sei","8- concordo totalmente","1- concordo totalmente","10- não","7- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","8- não concordo","1- concordo totalmente","2- não","3- não","sem resposta","nenhum"
"11","Amanda B.","15h19","II",38,"Feminino","acima de R$ 15.760","superior completo","branca","","11- não satisfeito","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","9- grave","3- não sei","1- grave","9- grave","9- grave","7- sim","2- não","7- sim","2- não","1- sim","1- sim","Marina Silva","5- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","9- não","9- concordo totalmente","2- concordo em parte","11- não","8- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","6- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","12- não concordo","9- não concordo","2- concordo em parte","2- não","1- muita","PT e PSDB","nenhum"
"12","Amanda B.","15h34","II",72,"Masculino","de R$ 1.576 a R$ 2.364","superior completo","branca","","12- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","2- concordo em parte","2- concordo em parte","10- grave","1- grave","2- não grave","10- grave","2- não grave","8- sim","2- não","8- sim","2- não","2- não","1- sim","Alckimin","6- concordo totalmente","2- concordo em parte","2- concordo em parte","2- concordo totalmente","10- não","10- concordo totalmente","1- concordo totalmente","12- não","9- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","7- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","13- não concordo","2- concordo em parte","4- não sei","2- não","2- pouca","3- Outros","João Doria"
"13","Amanda B.","15h48","II",43,"Masculino","de R$ 2.364 a R$ 3.940","médio incompleto","branca","","13- não satisfeito","1- concordo totalmente","1- concordo totalmente","4- não concordo","3- não concordo","4- não sei","1- concordo totalmente","11- grave","1- grave","1- grave","11- grave","11- grave","9- sim","1- sim","1- sim","3- não sei","1- sim","1- sim","FHC","7- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","11- não","11- concordo totalmente","2- concordo totalmente","13- não","10- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","8- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","14- não concordo","11- não concordo","4- não sei","1- sim","1- muita","1- PT","nenhum"
"14","Amanda B.","16h04","II",26,"Feminino","de R$ 3.940 a R$ 7.880","médio completo","branca","","14- não satisfeito","1- concordo totalmente","2- concordo em parte","5- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","12- grave","3- não sei","3- não sei","12- grave","1- grave","10- sim","1- sim","2- não","2- não","2- não","1- sim","Joaquim Barbosa","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","12- não","12- concordo totalmente","3- concordo totalmente","14- não","11- concordo totalmente","2- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","2- não","1- muita","3- Outros","nenhum"
"15","Amanda B.","16h14","II",41,"Masculino","de R$ 7.880 a R$ 15.760","superior completo","amarela","","15- não satisfeito","1- concordo totalmente","4- não sei","6- não concordo","1- concordo totalmente","3- não concordo","3- não concordo","13- grave","1- grave","1- grave","13- grave","3- não sei","11- sim","2- não","1- sim","2- não","3- não sei","1- sim","Alckimin","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","13- não","13- concordo totalmente","4- concordo totalmente","15- não","12- concordo totalmente","3- concordo totalmente","1- concordo totalmente","4- não sei","1- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","3- não concordo","2- concordo em parte","3- não concordo","2- concordo em parte","1- concordo totalmente","2- não","1- muita","3- Outros","João Doria"
"16","Angela","15:57","2",75,"Masculino","de R$ 2.364 a R$ 3.940","fundamental incompleto","parda",NA,"3- não satisfeito","2- concordo em parte","3- não concordo","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- grave","3- não sei","1- grave","1- grave","2- não grave","1- sim","1- sim","1- sim","3- não sei","3- não sei","1- sim","","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- concordo em parte","3- não concordo","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- não","1- muita","1- PT","Marta Suplicy"
"17","Angela","15:46","2",38,"Feminino","de R$ 3.940 a R$ 7.880","superior completo","parda",NA,"3- não satisfeito","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","2- não","1- sim","1- sim","Joaquim Barbosa","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não sei","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","1- sim","1- muita","2- PSDB","Nenhum"
"18","Angela","15:37","2",31,"Masculino","de R$ 7.880 a R$ 15.760","superior completo","indígena",NA,"3- não satisfeito","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","1- grave","1- grave","1- grave","1- grave","1- grave","3- não sei","2- não","3- não sei","2- não","3- não sei","1- sim","FHC","2- concordo em parte","3- não concordo","2- concordo em parte","1- concordo totalmente","2- não","1- concordo totalmente","2- concordo em parte","2- não","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","2- não","1- muita","3- Outros","Marta Suplicy"
"19","Angela","15:28","2",40,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","parda",NA,"3- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- grave","3- não sei","1- grave","1- grave","2- não grave","1- sim","2- não","1- sim","1- sim","1- sim","1- sim","Alckmin","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- não","1- muita","2- PSDB","Russomano"
"20","Angela","15:16","2",43,"Feminino","de R$ 3.940 a R$ 7.880","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","3- não concordo","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","3- não sei","1- sim","1- sim","1- sim","1- sim","Bolsonaro","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- sim","1- muita","3- Outros","Nenhum"
"21","Angela","15:03","2",53,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","preta",NA,"3- não satisfeito","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","3- não sei","3- não sei","1- sim","Serra","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","4- não sei","1- concordo totalmente","1- concordo totalmente","1- sim","1- muita","3- Outros","João Doria"
"22","Angela","14:50","2",53,"Feminino","de R$ 3.940 a R$ 7.880","superior completo","parda",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","1- concordo totalmente","1- grave","3- não sei","1- grave","1- grave","3- não sei","1- sim","3- não sei","1- sim","3- não sei","1- sim","1- sim","","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","2- concordo em parte","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","4- não sei","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","2- concordo em parte","2- não","1- muita","1- PT","Nenhum"
"23","Angela","14:38","2",40,"Feminino","acima de R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","2- não","1- sim","2- não","1- sim","1- sim","Aécio Neves","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","3- não sei","1- muita","1- PT","Nenhum"
"24","Angela","14:25","2",74,"Masculino","de R$ 7.880 a R$ 15.760","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","2- não","1- sim","2- não","1- sim","1- sim","Sérgio Moro","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","2- concordo em parte","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","3- não concordo","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- não","1- muita","3- Outros","Nenhum"
"25","Angela","14:16","2",19,"Feminino","de R$ 2.364 a R$ 3.940","superior incompleto","branca",NA,"3- não satisfeito","2- concordo em parte","3- não concordo","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","Joaquim Barbosa","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","2- concordo em parte","3- não sei","2- pouca","2- PSDB","Russomano"
"26","Angela","14:03","2",39,"Masculino","acima de R$ 15.760","superior completo","branca",NA,"3- não satisfeito","2- concordo em parte","4- não sei","2- concordo em parte","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","3- não sei","3- não sei","2- não","3- não sei","3- não sei","Datena","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- concordo em parte","3- não concordo","1- concordo totalmente","3- não sei","1- muita","2- PSDB","Datena"
"27","Angela","13:49","2",40,"Feminino","acima de R$ 15.760","superior completo","indígena",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","Suplicy","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","3- não sei","1- muita","1- PT","Nenhum"
"28","Angela","13:37","2",63,"Masculino","de R$ 7.880 a R$ 15.760","superior completo","branca",NA,"3- não satisfeito","2- concordo em parte","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","3- não concordo","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","Paulo Skaf","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","2- concordo em parte","2- concordo em parte","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","2- não","1- muita","3- Outros","Nenhum"
"29","Angela","13:25","2",60,"Masculino","de R$ 7.880 a R$ 15.760","superior completo","parda",NA,"3- não satisfeito","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","2- não grave","1- sim","2- não","1- sim","2- não","1- sim","1- sim","FHC","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- não","1- muita","3- Outros","Nenhum"
"30","Angela","13:16","2",52,"Feminino","de R$ 7.880 a R$ 15.760","superior incompleto","branca",NA,"3- não satisfeito","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","FHC","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","4- não sei","3- não sei","3- não ","","Nenhum"
"31","Angela","16:08","2",33,"Masculino","de R$ 3.940 a R$ 7.880","médio completo","amarela",NA,"3- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","2- não","1- sim","1- sim","1- sim","1- sim","Bolsonaro","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- sim","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","3- não sei","1- muita","1- PT","Nenhum"
"32","Augusto","13:02","3",58,"Masculino","de R$ 7.880 a R$ 15.760","superior incompleto","branca",NA,"3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","2- concordo em parte","2- concordo em parte","1- grave","1- grave","1- grave","1- grave","1- grave","3- não sei","2- não","2- não","2- não","1- sim","1- sim","Aécio Neves","1- concordo totalmente","3- não concordo","2- concordo em parte","2- concordo em parte","1- sim","1- concordo totalmente","2- concordo em parte","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","2- não","2- pouca","3- Outros","Nenhum"
"33","Augusto","13:14","3",21,"Feminino","de R$ 2.364 a R$ 3.940","superior incompleto","branca",NA,"2- pouco satisfeito","1- concordo totalmente","4- não sei","2- concordo em parte","1- concordo totalmente","2- concordo em parte","4- não sei","1- grave","3- não sei","3- não sei","1- grave","3- não sei","1- sim","1- sim","1- sim","2- não","3- não sei","1- sim","Não sabe","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","3- não concordo","3- não sei","1- muita","PT/PSDB","Datena"
"34","Augusto","13:29","3",64,"Feminino","de R$ 1.576 a R$ 2.364","superior completo","branca",NA,"3- não satisfeito","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- grave","1- grave","1- grave","1- grave","1- grave","1- sim","2- não","1- sim","2- não","3- não sei","3- não sei","FHC","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não sei","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","2- concordo em parte","3- não sei","1- muita","Todos","Nenhum"
"35","Augusto","13:39","3",49,"Masculino","de R$ 7.880 a R$ 15.760","médio incompleto","branca",NA,"3- não satisfeito","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","Não sabe","1- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","2- não","1- concordo totalmente","2- concordo em parte","2- não","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","2- concordo em parte","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","2- concordo em parte","2- concordo em parte","1- sim","1- muita","2- PSDB","João Doria"
