Entrevistador,Horário,Região,Idade,Sexo,Renda,Escolaridade,Cor,especificar,Imprensa,Folha,Estado,Veja,Carta.Capital,J.Nacional,J.Record,Globo.News,El.País,BBC,Partidos,PT,PSDB,PMDB,Rede,PSOL,ONGs,Mov.sociais,Vem.pra.rua,Brasil.Livre,MPL,MST,Revoltados,MTST,Políticos,Aécio.Neves,Dilma.Rousseff,Eduardo.Cunha,Fernando.Haddad,Geraldo.Alckmin,Jair.Bolsonaro,Jean.Wyllys,José.Serra,Luciana.Genro,Lula,Marina.Silva,Pastor.Feliciano,Liderança.política,Internet,Twitter,perfil,Whatsapp,Facebook,página,Sites,qual.site,Blogs,qual.blog,Demétrio.Magnoli,Guilherme.Boulos,Gregório.Duvivier,Jânio.de.Freitas,José.Luiz.Datena,Luis.Nassif,Olavo.de.Carvalho,Paulo.Henrique.Amorim,Raquel.Sherazade,Reinaldo.Azevedo,William.Bonner,Vladimir.Safatle,qual.comentarista,regime.comunista,friboi,petrobras,bolivariana,racismo,pcc,bolsa.familia,haitianos
Marina Rongo,16:29:00,2,45,Feminino,de R$ 2.364 a R$ 3.940,superior completo,branca,,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia pouco,confia muito,confia muito,confia muito,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,confia muito,confia muito,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,não confia,Marina Silva,sim,nada,,muito,nada,,pouco,Globo News,nada,,não conhece,não conhece,confia pouco,confia muito,não confia,confia muito,confia pouco,confia muito,não confia,não confia,confia muito,não conhece,eliane Colete,concorda,concorda,concorda,não concorda,concorda,concorda,concorda,concorda
Marina Rongo,16:38:00,2,55,Masculino,de R$ 3.940 a R$ 7.880,médio completo,branca,,não confia,confia muito,confia muito,confia muito,não conhece,não confia,confia pouco,não confia,não conhece,confia muito,não confia,não confia,confia pouco,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,não confia,confia pouco,confia pouco,não confia,não conhece,não confia,confia muito,confia muito,não confia,confia muito,não conhece,não confia,confia muito,confia muito,PSDB,sim,muito,Veja,nada,muito,Página de amigos,muito,Veja/UOL,nada,,não conhece,não conhece,confia muito,confia muito,não confia,confia muito,não conhece,confia muito,confia muito,confia muito,confia pouco,não conhece,Reinaldo azevedo,concorda,não concorda,concorda,não concorda,concorda,concorda,concorda,concorda
Marina Rongo,16:46:00,2,56,Feminino,de R$ 2.364 a R$ 3.940,médio completo,branca,,confia muito,confia muito,confia muito,confia muito,não confia,confia pouco,confia muito,confia pouco,não conhece,não conhece,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia muito,confia muito,não confia,confia muito,não confia,confia pouco,confia muito,não confia,confia pouco,não confia,confia muito,confia muito,não confia,confia muito,não confia,não confia,não confia,não confia,PSDB,sim,nada,,pouco,muito,Página de amigos,muito,UOL/Bol/Terra,pouco,,não conhece,não conhece,não conhece,não conhece,confia muito,não conhece,não conhece,confia muito,confia muito,confia muito,confia pouco,não conhece,João Soria Jr,concorda,concorda,concorda,concorda,não concorda,concorda,concorda,não sei
Marina Rongo,16:56:00,2,39,Masculino,de R$ 3.940 a R$ 7.880,médio completo,branca,,confia pouco,não confia,não conhece,confia pouco,não conhece,confia muito,confia pouco,não conhece,não conhece,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia muito,não conhece,não confia,não conhece,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,confia pouco,confia pouco,Nenhum,sim,nada,,pouco,pouco,Página de amigos,muito,UOL,nada,,não conhece,não conhece,confia pouco,não conhece,confia pouco,não conhece,não conhece,confia muito,confia muito,confia muito,confia muito,não conhece,Kenedy Alencar,concorda,concorda,concorda,concorda,concorda,não sei,não sei,não sei
Marina Rongo,17:04:00,2,57,Feminino,de R$ 2.364 a R$ 3.940,médio completo,branca,,não confia,não confia,não confia,confia muito,não confia,não confia,confia pouco,não confia,não conhece,confia pouco,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia pouco,não confia,confia muito,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,não confia,confia pouco,não confia,não confia,confia pouco,não confia,PSDB,sim,nada,,muito,muito,Página de amigos,nada,,nada,,não conhece,não conhece,não conhece,não conhece,confia pouco,não conhece,não conhece,não confia,confia muito,não conhece,não confia,não conhece,Herodotobi,concorda,concorda,concorda,concorda,concorda,não sei,concorda,concorda
Marina Moura,17:40:00,2,50,Feminino,de R$ 1.576 a R$ 2.364,superior incompleto,branca,,confia pouco,,,confia muito,não confia,não confia,não confia,confia muito,não conhece,não conhece,não confia,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia pouco,não confia,não conhece,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não conhece,confia pouco,não confia,não confia,confia pouco,não confia,PSDB,sim,nada,,nada,pouco,Página de amigos,muito,Globo News,nada,,confia muito,não conhece,não conhece,confia muito,não confia,não conhece,não conhece,não confia,não conhece,confia muito,confia muito,não conhece,William Wooch,concorda,concorda,concorda,concorda,não sei,concorda,concorda,concorda
Julia Castilho,16:48:00,2,17,Feminino,de R$ 2.364 a R$ 3.940,médio completo,branca,,confia pouco,confia muito,confia muito,confia muito,não confia,confia pouco,não conhece,confia muito,não conhece,confia muito,confia pouco,não confia,confia pouco,não confia,não conhece,não confia,confia muito,confia muito,confia muito,confia muito,confia pouco,não confia,não conhece,confia pouco,não confia,confia muito,não confia,não conhece,não confia,confia pouco,não confia,não conhece,confia muito,não confia,não confia,confia muito,não confia,Nenhum,sim,nada,,muito,muito,Página de amigos,pouco,G1,nada,,confia muito,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,não confia,não conhece,confia muito,confia muito,não conhece,Reinaldo azevedo,concorda,concorda,concorda,não sei,concorda,não sei,não concorda,não sei
Pedro Cost,16:16:00,3,45,Feminino,acima de R$ 15.760,superior completo,branca,,confia muito,não confia,confia muito,confia muito,não confia,confia pouco,confia pouco,confia muito,não confia,confia pouco,não confia,não confia,confia pouco,confia pouco,confia pouco,não confia,confia pouco,confia muito,confia muito,confia pouco,confia muito,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,confia muito,não confia,não confia,confia muito,não confia,não confia,confia pouco,não confia,Aécio Neves,sim,nada,,muito,muito,Página de amigos,muito,Terra e UOL,nada,,não conhece,não conhece,não conhece,não conhece,confia muito,confia pouco,confia pouco,confia muito,confia muito,confia muito,confia muito,confia pouco,Boechat,concorda,concorda,concorda,concorda,concorda,concorda,concorda,concorda
Pedro Cost,16:40:00,3,53,Masculino,de R$ 3.940 a R$ 7.880,superior completo,outra,Ridiculo,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,não confia,não confia,não confia,não confia,não confia,confia pouco,Olavo de Carvalho,sim,nada,,nada,nada,,muito,Veja e Folha,muito,Reinaldo Azevedo,não conhece,confia pouco,não conhece,não confia,confia pouco,não confia,confia muito,não confia,confia pouco,confia muito,não confia,não conhece,Nenhum,concorda,concorda,concorda,concorda,concorda,concorda,concorda,não concorda
Matheus Fava,15:16:00,1,52,Masculino,de R$ 3.940 a R$ 7.880,superior completo,branca,,confia pouco,confia pouco,confia muito,confia muito,confia muito,não confia,confia muito,confia pouco,não conhece,confia pouco,confia pouco,não confia,confia muito,confia pouco,confia muito,não confia,confia pouco,confia muito,confia pouco,confia pouco,confia pouco,não confia,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,confia muito,confia muito,confia pouco,confia muito,não confia,não confia,confia muito,confia muito,Gelton Freitas,sim,nada,,nada,nada,,muito,Nenhum,muito,Nenhum específico,confia pouco,não conhece,não conhece,confia muito,confia muito,confia pouco,confia pouco,confia muito,confia muito,não conhece,confia pouco,não conhece,Nenhum,concorda,não sei,concorda,concorda,não concorda,concorda,não concorda,não sei
Hércules,14:50:00,3,67,Feminino,de R$ 2.364 a R$ 3.940,fundamental incompleto,preta,,confia pouco,confia muito,não conhece,confia muito,não conhece,confia muito,não conhece,não conhece,não conhece,não conhece,não confia,não confia,confia pouco,não conhece,não conhece,não conhece,não conhece,confia muito,confia muito,confia pouco,não conhece,confia muito,não conhece,confia muito,não confia,confia pouco,não confia,confia muito,confia pouco,confia muito,não confia,confia muito,confia muito,não conhece,não confia,confia muito,não confia,José Serra,não,,,,,,,,,,não conhece,não conhece,não conhece,não conhece,confia muito,não conhece,não conhece,confia muito,confia muito,não conhece,confia muito,não conhece,Datena,não concorda,não sei,concorda,não sei,concorda,não sei,concorda,não concorda
Pedro Cost,17:20:00,3,46,Feminino,acima de R$ 15.760,superior completo,branca,,não confia,confia muito,confia pouco,confia pouco,não conhece,confia pouco,confia muito,confia muito,confia muito,confia muito,confia pouco,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,confia muito,não confia,não conhece,não confia,confia muito,não confia,confia muito,não confia,Nenhum,sim,nada,,pouco,pouco,Página de amigos,muito,Folha/Globo News/Band/CNN,nada,,confia muito,não conhece,confia muito,confia pouco,confia pouco,não conhece,não conhece,confia muito,não conhece,não conhece,não confia,não conhece,Nenhum,concorda,concorda,concorda,não concorda,concorda,concorda,não concorda,não concorda
Pedro Cost,17:29:00,3,20,Masculino,acima de R$ 15.760,superior incompleto,branca,,confia pouco,confia muito,confia muito,confia pouco,não confia,confia pouco,não conhece,confia muito,não conhece,confia muito,não confia,não confia,confia pouco,não confia,não conhece,não confia,confia pouco,confia pouco,confia muito,não conhece,confia pouco,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,confia muito,não confia,confia pouco,não confia,não confia,confia pouco,não confia,Partido Novo,sim,nada,,nada,pouco,Página de amigos,pouco,UOL/Folha/Valor Econômico,nada,,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,não conhece,não conhece,confia pouco,confia pouco,não conhece,Humberto Dantas e Carlos Melo,não concorda,concorda,concorda,não sei,não concorda,não concorda,não concorda,não concorda
Pedro Cost,17:45:00,3,22,Feminino,de R$ 1.576 a R$ 2.364,médio completo,parda,,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia muito,não confia,não confia,confia pouco,confia pouco,não confia,não confia,não confia,não conhece,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não confia,confia pouco,confia pouco,Nenhum,sim,nada,,nada,pouco,Página de amigos,muito,Nenhum,nada,,não conhece,não conhece,não conhece,não conhece,confia muito,não conhece,não conhece,confia pouco,não conhece,não conhece,confia pouco,confia pouco,Nenhum,concorda,não concorda,concorda,concorda,concorda,concorda,concorda,concorda
Pedro Cost,17:54:00,3,38,Masculino,de R$ 3.940 a R$ 7.880,superior completo,amarela,,não confia,confia pouco,confia pouco,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não conhece,confia pouco,confia pouco,confia muito,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,Nenhum,sim,nada,,nada,pouco,Página de amigos,pouco,Nenhum,pouco,,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,confia pouco,não confia,não confia,não confia,não confia,Nenhum,concorda,concorda,concorda,concorda,concorda,concorda,concorda,concorda
Pedro Cost,18:07:00,3,44,Feminino,de R$ 2.364 a R$ 3.940,superior completo,branca,,confia pouco,confia muito,confia muito,confia pouco,não conhece,confia pouco,não conhece,confia pouco,não conhece,confia muito,não confia,não confia,não confia,não confia,não conhece,confia pouco,confia pouco,confia pouco,confia muito,confia muito,confia pouco,não confia,não conhece,não confia,não confia,confia muito,não confia,não conhece,não confia,não confia,não conhece,não conhece,confia pouco,confia muito,não confia,confia pouco,não confia,Eduardo Campos,sim,nada,,pouco,pouco,Página de amigos,pouco,Nenhum,nada,,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,confia muito,não conhece,não conhece,confia muito,não conhece,"Fátima Bernardes, Arnaldo Jabor",concorda,não sei,concorda,não sei,concorda,não sei,concorda,concorda
Pedro Cost,18:17:00,3,41,Masculino,acima de R$ 15.760,superior completo,branca,,confia pouco,confia pouco,confia muito,confia muito,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia muito,confia muito,confia muito,confia pouco,confia pouco,confia pouco,não confia,confia pouco,confia pouco,não confia,confia pouco,não confia,confia pouco,confia muito,não confia,confia pouco,não confia,não confia,não confia,não confia,Jair Bolsonaro,sim,nada,,muito,nada,,muito,Estadã,nada,,não conhece,não confia,não confia,confia muito,confia muito,não conhece,confia muito,não confia,confia muito,confia muito,não confia,não conhece,Reinaldo azevedo,concorda,não sei,concorda,concorda,concorda,não concorda,concorda,não sei
Raquel Tiemi,Nenhum,1,19,Masculino,até R$ 1.576,médio completo,parda,,confia pouco,confia muito,confia muito,confia muito,não conhece,confia muito,confia muito,confia muito,não conhece,confia muito,não confia,não confia,confia pouco,confia pouco,não confia,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,confia muito,não confia,confia muito,não confia,não conhece,confia pouco,confia pouco,não conhece,confia pouco,confia pouco,não confia,não confia,confia pouco,confia pouco,Aécio Neves,sim,nada,,pouco,muito,Revoltados Online,nada,Nenhum,nada,,não conhece,não conhece,não conhece,não conhece,confia muito,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,confia muito,confia pouco,Nenhum,não concorda,não concorda,concorda,não sei,não sei,não concorda,não concorda,não concorda
Raquel Tiemi,16:56:00,1,49,Masculino,acima de R$ 15.760,superior completo,branca,,confia muito,confia pouco,confia muito,confia muito,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia pouco,não confia,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,não conhece,não confia,não confia,não conhece,não confia,confia pouco,confia muito,não confia,confia pouco,não confia,confia muito,não confia,não confia,confia muito,não confia,não confia,confia pouco,não confia,PSDB,sim,nada,,muito,muito,Nenhum,muito,Veja,nada,,não conhece,não conhece,não conhece,não conhece,não confia,confia muito,não conhece,confia muito,não conhece,confia pouco,confia pouco,confia pouco,Umberto Dantas,concorda,não sei,concorda,concorda,não sei,não concorda,não concorda,não sei
Raquel Tiemi,16:37:00,1,16,Masculino,até R$ 1.576,médio incompleto,branca,,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,confia pouco,não confia,confia muito,não confia,não confia,não confia,não confia,confia muito,não confia,confia muito,confia muito,confia muito,confia pouco,confia muito,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,não confia,Nenhum,sim,nada,,muito,muito,Passe Livre,pouco,Estadã,nada,,não conhece,não conhece,não conhece,não conhece,confia pouco,não conhece,confia pouco,confia pouco,não conhece,não conhece,não confia,confia pouco,Nenhum,concorda,concorda,concorda,não concorda,concorda,concorda,concorda,concorda
Raquel Tiemi,16:59:00,1,34,Feminino,acima de R$ 15.760,superior completo,branca,,confia muito,confia muito,confia muito,confia muito,confia pouco,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,não confia,não confia,confia muito,não confia,não confia,confia pouco,não confia,não confia,não confia,confia muito,confia pouco,não confia,confia muito,não confia,não confia,confia pouco,não confia,Nenhum,sim,nada,,nada,muito,Página de amigos,pouco,Nenhum,nada,,não conhece,confia pouco,não confia,confia pouco,confia pouco,não confia,confia pouco,confia pouco,confia muito,confia muito,confia muito,não confia,Nenhum,concorda,concorda,concorda,não sei,concorda,não concorda,concorda,concorda
Raquel Tiemi,16:48:00,1,46,Feminino,de R$ 7.880 a R$ 15.760,superior completo,branca,,confia pouco,não conhece,confia pouco,confia pouco,não conhece,não confia,não conhece,confia pouco,não conhece,confia pouco,não confia,não confia,confia pouco,não confia,não conhece,confia pouco,confia pouco,confia pouco,confia muito,não conhece,não confia,não confia,não conhece,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,confia pouco,não confia,confia pouco,não confia,PSDB,sim,nada,,nada,nada,,muito,Estadã,nada,,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,confia pouco,não conhece,confia pouco,não confia,não conhece,Miriam leitão e Kennedy Alencar,concorda,concorda,concorda,não concorda,concorda,não concorda,concorda,não sei
Raquel Tiemi,Nenhum,1,77,Feminino,de R$ 7.880 a R$ 15.760,médio completo,branca,,confia pouco,confia pouco,confia muito,confia muito,não conhece,confia pouco,confia pouco,confia muito,não conhece,confia muito,não confia,não confia,confia pouco,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia muito,confia muito,não conhece,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,confia muito,confia pouco,não confia,confia muito,não conhece,não confia,confia pouco,não conhece,FHC,sim,nada,,nada,nada,,muito,Veja/CNN,nada,,não conhece,não conhece,não conhece,não conhece,confia pouco,confia muito,não conhece,não conhece,confia pouco,não conhece,confia muito,confia pouco,Boris e Boechat,concorda,concorda,concorda,não concorda,concorda,concorda,não concorda,concorda
Caique Duarte,16:50:00,3,50,Feminino,de R$ 3.940 a R$ 7.880,superior incompleto,branca,,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,não conhece,confia pouco,não confia,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,Nenhum,sim,nada,,nada,nada,,nada,,nada,,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,Nenhum,concorda,concorda,não concorda,não sei,concorda,concorda,concorda,concorda
Caique Duarte,17:00:00,3,45,Masculino,de R$ 7.880 a R$ 15.760,superior completo,parda,,confia pouco,confia muito,confia muito,confia muito,confia pouco,confia muito,confia muito,confia muito,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,Nenhum,sim,nada,,pouco,pouco,Página de amigos,muito,Terra/Folha/UOL,nada,,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,não confia,confia pouco,confia pouco,confia muito,não conhece,Nenhum,concorda,concorda,concorda,concorda,não concorda,não concorda,concorda,não sei
Caique Duarte,17:10:00,3,61,Masculino,acima de R$ 15.760,superior completo,branca,,confia pouco,não confia,confia pouco,confia muito,,não confia,confia pouco,confia pouco,não confia,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,Nenhum,sim,nada,,pouco,muito,Página de amigos,muito,Globo/Band News,nada,,não conhece,não confia,não confia,não confia,não confia,confia pouco,não conhece,confia pouco,confia muito,confia pouco,confia pouco,não conhece,Boechat,concorda,concorda,não concorda,concorda,concorda,concorda,concorda,concorda
Marina Rongo,17:14:00,2,32,Masculino,de R$ 7.880 a R$ 15.760,superior completo,branca,,confia pouco,não confia,confia muito,confia muito,confia pouco,confia pouco,confia pouco,confia muito,confia pouco,confia muito,confia pouco,não confia,confia pouco,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia pouco,não confia,não conhece,não confia,confia pouco,confia muito,não confia,não confia,não confia,confia muito,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,PSDB,sim,nada,,nada,pouco,Página de amigos,muito,Veja/UOL,nada,,não conhece,não conhece,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,Reinaldo azevedo,não concorda,concorda,concorda,não concorda,não concorda,não concorda,não concorda,não concorda
Marina Rongo,14:52:00,2,45,Feminino,de R$ 3.940 a R$ 7.880,superior completo,branca,,confia pouco,não confia,confia muito,confia muito,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia muito,não confia,não confia,não confia,não confia,confia pouco,confia muito,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,PSDB,sim,nada,,nada,muito,Vem pra Rua,muito,Nenhum,nada,,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,Nenhum,concorda,concorda,concorda,não concorda,concorda,concorda,concorda,concorda
Marina Rongo,17:14:00,2,28,Masculino,de R$ 2.364 a R$ 3.940,médio completo,parda,,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,confia pouco,confia muito,confia muito,confia muito,confia muito,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,confia muito,confia muito,não confia,confia muito,não confia,não confia,não confia,não confia,Aécio Neves,sim,nada,,muito,muito,Página de amigos,pouco,Nenhum,nada,,não conhece,não conhece,não conhece,não conhece,confia pouco,não conhece,confia muito,não conhece,confia muito,não conhece,confia pouco,não conhece,Olavo de Carvalho,concorda,não sei,concorda,não sei,não sei,concorda,concorda,não sei
Marina Rongo,14:42:00,2,32,Masculino,de R$ 1.576 a R$ 2.364,superior completo,preta,,confia pouco,confia pouco,confia pouco,não confia,não confia,confia pouco,confia pouco,confia muito,confia pouco,confia muito,confia pouco,não confia,confia pouco,não confia,confia muito,não confia,confia pouco,confia pouco,confia muito,confia muito,confia pouco,não confia,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não confia,confia muito,confia pouco,não confia,não confia,confia muito,não confia,Marina Silva,sim,pouco,Planalto,pouco,muito,Vem pra Rua,muito,UOL,pouco,Planalto,não conhece,não conhece,confia pouco,confia pouco,não confia,confia pouco,confia pouco,confia muito,confia muito,confia pouco,confia pouco,não conhece,Paulo Henrique Amorim,não concorda,concorda,concorda,não concorda,não concorda,não concorda,não concorda,não concorda
Giovana Beltrame,Nenhum,1,NA,Masculino,de R$ 1.576 a R$ 2.364,superior completo,branca,,confia pouco,confia pouco,confia pouco,não confia,confia pouco,não confia,não confia,não confia,não conhece,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia muito,confia muito,não confia,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,Nenhum,sim,nada,,pouco,muito,Página de amigos,muito,UOL,pouco,Não tem um principal,não conhece,não conhece,não conhece,não conhece,confia muito,confia pouco,não conhece,confia pouco,confia muito,não conhece,confia muito,não conhece,Raquel sherezade,concorda,concorda,concorda,concorda,concorda,concorda,concorda,concorda
Giovana Beltrame,Nenhum,1,41,Masculino,acima de R$ 15.760,superior completo,branca,,confia muito,confia muito,confia muito,confia muito,não conhece,confia pouco,confia pouco,confia pouco,não conhece,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia muito,confia muito,não conhece,não conhece,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,Aécio Neves,sim,nada,,nada,nada,,muito,Folha/Veja,nada,,não conhece,não conhece,não conhece,não conhece,não confia,confia muito,não conhece,confia muito,confia pouco,confia muito,confia pouco,não conhece,Boechat,concorda,concorda,concorda,não sei,não sei,concorda,concorda,não sei
Giovana Beltrame,Nenhum,1,18,Masculino,até R$ 1.576,médio completo,parda,,confia pouco,confia muito,confia muito,confia muito,não conhece,não confia,não confia,não confia,não conhece,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,confia muito,não confia,confia muito,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,confia pouco,Nenhum,sim,nada,,nada,pouco,Aécio Neves,muito,Veja,nada,,não conhece,não conhece,não conhece,não conhece,confia muito,não conhece,não conhece,confia pouco,não conhece,confia pouco,confia pouco,não conhece,Datena,não sei,concorda,concorda,não sei,concorda,concorda,não concorda,não sei
Giovana Beltrame,16:40:00,1,36,Masculino,de R$ 7.880 a R$ 15.760,superior incompleto,branca,,confia muito,confia muito,confia muito,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,confia muito,confia pouco,não confia,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,não confia,confia pouco,confia pouco,não confia,não confia,não conhece,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,não confia,confia muito,confia pouco,Marina Silva,sim,pouco,Rede e PSDB,muito,nada,,pouco,G1/UOL/Antagonista,pouco,Reinaldo Azevedo e Felipe Moura Brasil,não conhece,não confia,não confia,não conhece,não conhece,não confia,confia muito,não confia,confia muito,confia muito,confia muito,não conhece,Diogo Mainardi,concorda,concorda,concorda,concorda,não concorda,não sei,não concorda,não sei
Julia Castilho,16:36:00,2,56,Feminino,de R$ 3.940 a R$ 7.880,superior completo,branca,,confia muito,confia muito,confia muito,confia muito,não confia,confia pouco,não confia,confia muito,não conhece,não conhece,não confia,não confia,não confia,confia pouco,confia pouco,não confia,não confia,confia pouco,confia pouco,não confia,confia pouco,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,Marina Silva,sim,muito,Várias,nada,pouco,Página de amigos,muito,G1,muito,Marlego,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,Claudio Humberto,não concorda,não concorda,concorda,não concorda,não concorda,concorda,não concorda,não concorda
Giovana Beltrame,Nenhum,1,22,Masculino,até R$ 1.576,superior incompleto,branca,,não confia,não confia,não confia,não confia,,,,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,Nenhum,não,,,,,,,,,,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,não conhece,Nenhum,não sei,não sei,não sei,não sei,não sei,não sei,não sei,não sei
